pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.rectum_Ensembl_BridgeDb_UC	probabilities.rectum_Ensembl_BridgeDb_UC	GenesInPWs.rectum_Ensembl_Hs_UC	probabilities.rectum_Ensembl_Hs_UC	GenesInPWs.rectum_Ensembl_PriID_BridgeDb_UC	probabilities.rectum_Ensembl_PriID_BridgeDb_UC	GenesInPWs.rectum_ENTREZ_BridgeDb_UC	probabilities.rectum_ENTREZ_BridgeDb_UC	GenesInPWs.rectum_ENTREZ_Hs_UC	probabilities.rectum_ENTREZ_Hs_UC	GenesInPWs.rectum_ENTREZ_PriID_BridgeDb_UC	probabilities.rectum_ENTREZ_PriID_BridgeDb_UC	GenesInPWs.rectum_HGNC_PriID_BridgeDb_UC	probabilities.rectum_HGNC_PriID_BridgeDb_UC	GenesInPWs.rectum_HGNC_UC	probabilities.rectum_HGNC_UC
<https://identifiers.org/wikipathways/WP313_r118735>	WP313	Hepatocyte growth factor receptor signaling	34	13	3.36297657386758e-51	13	4.7016408920634e-51	13	9.48445102757902e-52	13	9.06627635344497e-51	13	3.29165533552846e-51	13	2.60394799736002e-51	13	1.46695237518225e-52	13	1.46695237518225e-52
<https://identifiers.org/wikipathways/WP314_r121827>	WP314	Fas ligand pathway and stress induction of heat shock proteins	43	14	3.39586742683246e-68	14	5.39233712268394e-68	14	5.92005426872328e-69	14	1.33450495711557e-67	14	3.2968827219913e-68	14	2.38584490460589e-68	14	4.50418539775051e-70	14	4.50418539775051e-70
<https://identifiers.org/wikipathways/WP322_r117584>	WP322	Osteoblast signaling	14	6	8.60714757147815e-23	6	9.78046320428196e-23	6	5.3115390636944e-23	6	1.25638669526333e-22	6	8.53707024294871e-23	6	7.8071426066501e-23	6	2.60683756152388e-23	6	2.60683756152388e-23
<https://identifiers.org/wikipathways/WP325_r116669>	WP325	Triacylglyceride synthesis	24	6	1.24517590391568e-47	6	1.65958317371661e-47	7	3.75410238903485e-45	6	2.91408994147335e-47	6	1.22250068892642e-47	7	8.50542536961436e-45	7	8.28148257576104e-46	6	8.49133997807617e-49
<https://identifiers.org/wikipathways/WP3286_r106367>	WP3286	Copper homeostasis	55	16	5.83254640970663e-88	16	1.0856855862479e-87	16	5.57799506236306e-89	16	3.66849996160926e-87	16	5.60525715275277e-88	16	3.62959762955541e-88	16	1.75047826817339e-90	16	1.75047826817339e-90
<https://identifiers.org/wikipathways/WP3287_r121705>	WP3287	Overview of nanoparticle effects	22	11	9.8762586208608e-29	11	1.17729567119591e-28	12	2.64492764859984e-26	11	1.66110273732138e-28	11	9.76589179192335e-29	12	4.28024985499934e-26	12	1.08665092850572e-26	11	1.91199576863172e-29
<https://identifiers.org/wikipathways/WP3297_r106734>	WP3297	EV release from cardiac cells and their functional effects	12	4	1.41876058870518e-23	4	1.61216426444208e-23	4	8.75528417092476e-24	4	2.07096708010441e-23	4	1.40720938070584e-23	4	1.28689163845881e-23	4	4.29698499152287e-24	4	4.29698499152287e-24
<https://identifiers.org/wikipathways/WP3298_r120642>	WP3298	Melatonin metabolism and effects	40	11	1.00161716503286e-69	11	1.59047946897097e-69	11	1.74613058408177e-70	11	3.93614621497501e-69	11	9.72421449481289e-70	11	7.03709217467423e-70	11	1.32851753081695e-71	11	1.32851753081695e-71
<https://identifiers.org/wikipathways/WP3299_r88676>	WP3299	let-7 inhibition of ES cell reprogramming	16	1	6.14937040670821e-44	1	7.81323698792234e-44	1	2.48877133487148e-44	1	1.24921716155813e-43	1	6.0558851126972e-44	1	5.1219968068944e-44	1	6.55724623105711e-45	1	6.55724623105711e-45
<https://identifiers.org/wikipathways/WP3300_r102277>	WP3300	Dual hijack model of Vif in HIV infection	9	3	1.48215390728618e-18	3	1.63126899721727e-18	4	1.60847614280008e-15	3	1.96839772871891e-18	3	1.47309262120421e-18	4	2.04637502277443e-15	4	1.03081004384058e-15	3	6.0502423703042e-19
<https://identifiers.org/wikipathways/WP3301_r120029>	WP3301	MFAP5-mediated ovarian cancer cell motility and invasiveness	13	3	2.13854560657372e-29	3	2.50889118784261e-29	3	1.16980435586016e-29	3	3.43093754236663e-29	3	2.11680707755789e-29	3	1.89307821981393e-29	3	4.80606337242684e-30	3	4.80606337242684e-30
<https://identifiers.org/wikipathways/WP3302_r87966>	WP3302	eIF5A regulation in response to inhibition of the nuclear export system	4	1	1.1890088260142e-10	1	1.2474024199595e-10	1	9.92060136971183e-11	1	1.37028525020459e-10	1	1.18536776708378e-10	1	1.14627989240006e-10	1	7.5958890093117e-11	1	7.5958890093117e-11
<https://identifiers.org/wikipathways/WP3303_r120561>	WP3303	RAC1/PAK1/p38/MMP2 pathway	68	25	1.26352153323591e-91	25	2.50612858086656e-91	25	9.50649826167778e-93	25	9.5899894391822e-91	25	1.20936085102195e-91	25	7.49085313837675e-92	25	2.09420297733166e-94	25	2.09420297733166e-94
<https://identifiers.org/wikipathways/WP334_r117741>	WP334	GPCRs, class B secretin-like	23	3	1.7985776804666e-54	3	2.47478171523472e-54	7	9.77005146746331e-43	3	4.62551668231956e-54	3	1.76222869106544e-54	7	2.10969988438809e-42	7	2.35539166925604e-43	3	9.10532829005252e-56
<https://identifiers.org/wikipathways/WP34_r116553>	WP34	Ovarian infertility	32	11	4.67579630591209e-52	11	6.53704081249452e-52	11	1.31869372575965e-52	11	1.2605517924576e-51	11	4.57663308683096e-52	11	3.62046245622247e-52	11	2.03961292806089e-53	11	2.03961292806089e-53
<https://identifiers.org/wikipathways/WP3407_r117112>	WP3407	FTO obesity variant mechanism	8	1	1.68302266199533e-22	1	1.88216106751731e-22	1	1.10316580553654e-22	1	2.3433306294272e-22	1	1.67102560399776e-22	1	1.54530987858568e-22	1	5.91768619943689e-23	1	5.91768619943689e-23
<https://identifiers.org/wikipathways/WP3408_r118453>	WP3408	Evolocumab mechanism to reduce LDL cholesterol	2	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1
<https://identifiers.org/wikipathways/WP3413_r116601>	WP3413	NOTCH1 regulation of endothelial cell calcification	17	9	6.96769089119659e-22	9	7.91751783203769e-22	9	4.2998173372764e-22	9	1.01707494378461e-21	9	6.91096162524418e-22	9	6.32006782443105e-22	9	2.11029707361456e-22	9	2.11029707361456e-22
<https://identifiers.org/wikipathways/WP3414_r106735>	WP3414	Initiation of transcription and translation elongation at the HIV-1 LTR	32	8	2.26886514395966e-60	8	3.32721550596023e-60	8	5.34222576446847e-61	8	7.04554519796534e-60	8	2.21397126463498e-60	8	1.69386618739547e-60	8	6.3319778493199e-62	8	6.3319778493199e-62
<https://identifiers.org/wikipathways/WP35_r117729>	WP35	G protein signaling pathways	92	27	9.26620249779323e-132	27	2.60404486817836e-131	27	1.86878701880237e-133	27	1.97222690578644e-130	27	8.67349021058293e-132	27	4.21035813167073e-132	27	5.90185874263716e-136	27	5.90185874263716e-136
<https://identifiers.org/wikipathways/WP3527_r120810>	WP3527	Pre-implantation embryo	59	11	3.80803525375274e-109	11	8.17643049760663e-109	11	2.12328177667004e-110	11	3.65479800466195e-108	11	3.626359000646e-109	11	2.12498052748695e-109	11	3.00633365139808e-112	11	3.00633365139808e-112
<https://identifiers.org/wikipathways/WP3529_r120882>	WP3529	Zinc homeostasis	37	23	9.19934623479896e-33	23	1.15035604133247e-32	23	3.95431025795497e-33	23	1.78266114133909e-32	23	9.06873989002091e-33	23	7.75625546078308e-33	23	1.13863193774796e-33	23	1.13863193774796e-33
<https://identifiers.org/wikipathways/WP357_r121828>	WP357	Fatty acid biosynthesis	23	11	3.86579217630701e-31	11	4.68231029526297e-31	11	1.87449422299796e-31	11	6.81630026019497e-31	11	3.81869281221078e-31	11	3.33971421389899e-31	11	6.44713424403025e-32	11	6.44713424403025e-32
<https://identifiers.org/wikipathways/WP3580_r120915>	WP3580	Methionine de novo and salvage pathway	22	8	4.81682190189552e-37	8	6.02331952014958e-37	8	2.07049585603772e-37	8	9.33409941325873e-37	8	4.74843579205723e-37	8	4.06121263692309e-37	8	5.96193155030424e-38	8	5.96193155030424e-38
<https://identifiers.org/wikipathways/WP3584_r117155>	WP3584	MECP2 and associated Rett syndrome	73	21	7.83674643851993e-111	21	1.79279702426241e-110	21	3.43885884107273e-112	21	9.07352926017857e-110	21	7.43265942917976e-111	21	4.16648656725644e-111	21	3.41959212169179e-114	21	3.41959212169179e-114
<https://identifiers.org/wikipathways/WP3585_r106742>	WP3585	Cytosine methylation	9	3	1.48215390728618e-18	3	1.63126899721727e-18	3	1.03190129449887e-18	3	1.96839772871891e-18	3	1.47309262120421e-18	3	1.37756649126517e-18	3	6.0502423703042e-19	3	6.0502423703042e-19
<https://identifiers.org/wikipathways/WP3591_r88424>	WP3591	Sleep regulation	39	10	2.75444720384037e-70	10	4.37381853966999e-70	10	4.80185910622475e-71	10	1.08244020911811e-69	10	2.67415898607352e-70	10	1.93520034803539e-70	10	3.6534232097468e-72	10	3.6534232097468e-72
<https://identifiers.org/wikipathways/WP3593_r117786>	WP3593	MicroRNA for targeting cancer growth and vascularization in glioblastoma	8	6	1.62771344918594e-06	6	1.68058370033078e-06	6	1.44258771384103e-06	6	1.78922712736696e-06	6	1.62438847575267e-06	6	1.58847646555818e-06	6	1.20734123840013e-06	6	1.20734123840013e-06
<https://identifiers.org/wikipathways/WP3594_r117682>	WP3594	Circadian rhythm genes	209	57	2.98761390543041e-255	57	3.28854061865561e-254	59	4.11413847193537e-255	57	3.61237907823791e-252	57	2.56259835789966e-255	59	5.18324797588264e-252	59	7.5991955722842e-261	57	5.36743450132653e-265
<https://identifiers.org/wikipathways/WP3595_r89883>	WP3595	mir-124 predicted interactions with cell cycle and differentiation 	6	4	8.71989347778175e-07	4	9.00312696605772e-07	4	7.72814846700547e-07	4	9.58514532518016e-07	4	8.70208112010357e-07	4	8.50969535120449e-07	4	6.46789949142924e-07	4	6.46789949142924e-07
<https://identifiers.org/wikipathways/WP3596_r105860>	WP3596	miR-517 relationship with ARCN1 and USP1	5	1	1.01312953818522e-13	1	1.08000209520309e-13	1	7.95812720175891e-14	1	1.22412475451539e-13	1	1.0089953754544e-13	1	9.6488206430979e-14	1	5.57455526883299e-14	1	5.57455526883299e-14
<https://identifiers.org/wikipathways/WP3599_r105845>	WP3599	Transcription factor regulation in adipogenesis	22	11	9.8762586208608e-29	11	1.17729567119591e-28	11	5.08639932423055e-29	11	1.66110273732138e-28	11	9.76589179192335e-29	11	8.6367913670747e-29	11	1.91199576863172e-29	11	1.91199576863172e-29
<https://identifiers.org/wikipathways/WP3601_r117687>	WP3601	Lipid particles composition	11	6	7.97522314945564e-15	6	8.63852091384699e-15	6	5.8977458569336e-15	6	1.01026373095056e-14	6	7.93456788867978e-15	6	7.50337508350628e-15	6	3.77963682741546e-15	6	3.77963682741546e-15
<https://identifiers.org/wikipathways/WP3611_r120501>	WP3611	Photodynamic therapy-induced AP-1 survival signaling	50	22	7.81370713774186e-63	22	1.22116680620552e-62	22	1.44654253341921e-63	22	2.9294156262639e-62	22	7.59367237753141e-63	22	5.55677251110198e-63	22	1.20258370818819e-64	22	1.20258370818819e-64
<https://identifiers.org/wikipathways/WP3612_r106540>	WP3612	Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling	23	10	7.23561578005384e-34	10	8.90480865281671e-34	10	3.30333810525122e-34	10	1.33748310492587e-33	10	7.1401701401188e-34	10	6.17529943736579e-34	10	1.039555506953e-34	10	1.039555506953e-34
<https://identifiers.org/wikipathways/WP3613_r106539>	WP3613	Photodynamic therapy-induced unfolded protein response	27	18	2.05856774334265e-22	18	2.37682660543994e-22	19	3.9267449506598e-20	18	3.15025811729917e-22	18	2.03972354782863e-22	19	5.77170899848773e-20	19	1.92719776869801e-20	18	5.37060099813182e-23
<https://identifiers.org/wikipathways/WP3614_r106542>	WP3614	Photodynamic therapy-induced HIF-1 survival signaling	37	26	1.19701454030413e-25	26	1.42689665262712e-25	26	6.16477775909677e-26	26	2.01327669297041e-25	26	1.18363794658814e-25	26	1.04678960371945e-25	26	2.31736209420231e-26	26	2.31736209420231e-26
<https://identifiers.org/wikipathways/WP3617_r106541>	WP3617	Photodynamic therapy-induced NF-kB survival signaling	35	19	4.24591954735843e-38	19	5.48145620191406e-38	20	5.05211739618737e-36	19	9.04213392591681e-38	19	4.17710895122562e-38	20	1.0397471559059e-35	20	1.33109769028735e-36	19	3.90065257227055e-39
<https://identifiers.org/wikipathways/WP3624_r122572>	WP3624	Lung fibrosis	64	36	9.8498722478796e-59	36	1.5393892837852e-58	39	8.14225983599434e-53	36	3.69278873279867e-58	36	9.57249887824103e-59	39	2.70857318020926e-52	39	8.83171425644369e-54	36	1.51596363726255e-60
<https://identifiers.org/wikipathways/WP363_r120695>	WP363	Wnt signaling pathway	51	13	1.41330078840944e-87	13	2.58930863307695e-87	13	1.43519439009101e-88	13	8.48115069337675e-87	13	1.35960623130765e-87	13	8.90225452529056e-88	13	4.92066829474168e-90	13	4.92066829474168e-90
<https://identifiers.org/wikipathways/WP3630_r121716>	WP3630	NAD metabolism, sirtuins and aging	11	4	6.94246848073074e-21	4	7.7639144035089e-21	4	4.55055894783824e-21	4	9.66623884638719e-21	4	6.89298061649074e-21	4	6.37440324916587e-21	4	2.44104555726771e-21	4	2.44104555726771e-21
<https://identifiers.org/wikipathways/WP3633_r118462>	WP3633	Caffeine and theobromine metabolism	4	1	1.1890088260142e-10	1	1.2474024199595e-10	1	9.92060136971183e-11	1	1.37028525020459e-10	1	1.18536776708378e-10	1	1.14627989240006e-10	1	7.5958890093117e-11	1	7.5958890093117e-11
<https://identifiers.org/wikipathways/WP3634_r116602>	WP3634	Insulin signaling in adipocytes (normal condition)	8	4	1.41838135345931e-12	4	1.51200293328433e-12	4	1.11413780824625e-12	4	1.71377465632155e-12	4	1.41259352563617e-12	4	1.35083489003371e-12	4	7.80437737636619e-13	4	7.80437737636619e-13
<https://identifiers.org/wikipathways/WP3635_r116600>	WP3635	Insulin signaling in adipocytes (diabetic condition)	8	4	1.41838135345931e-12	4	1.51200293328433e-12	4	1.11413780824625e-12	4	1.71377465632155e-12	4	1.41259352563617e-12	4	1.35083489003371e-12	4	7.80437737636619e-13	4	7.80437737636619e-13
<https://identifiers.org/wikipathways/WP364_r121718>	WP364	IL6 signaling pathway	44	27	2.074909268366e-38	27	2.72173573335496e-38	27	7.44470573210615e-39	27	4.63219254408349e-38	27	2.03920222586267e-38	27	1.68669850849345e-38	27	1.64228873943835e-39	27	1.64228873943835e-39
<https://identifiers.org/wikipathways/WP3640_r122579>	WP3640	Imatinib and chronic myeloid leukemia	20	10	1.38150046184662e-26	10	1.62074370734632e-26	10	7.55693613885664e-27	9	3.95500651743186e-29	9	2.3252123314103e-29	9	2.05637889692254e-29	10	3.10471693858776e-27	10	3.10471693858776e-27
<https://identifiers.org/wikipathways/WP3644_r118983>	WP3644	NAD+ metabolism	16	7	5.02472675720555e-25	7	5.80155998276729e-25	7	2.91936375048472e-25	7	7.68941721995219e-25	7	4.97873024641623e-25	7	4.50249723800548e-25	7	1.31090184546314e-25	7	1.31090184546314e-25
<https://identifiers.org/wikipathways/WP3645_r118940>	WP3645	NAD+ biosynthetic pathways	22	9	3.14591990437121e-34	9	3.87165593600724e-34	9	1.43623395880485e-34	9	5.81514393446031e-34	9	3.10442180005165e-34	9	2.68491279885469e-34	9	4.51980655196953e-35	9	4.51980655196953e-35
<https://identifiers.org/wikipathways/WP3646_r116732>	WP3646	Hepatitis C and hepatocellular carcinoma	56	24	2.74109483073348e-70	24	4.56529267318499e-70	25	9.99381126918402e-69	24	1.24053498975796e-69	24	2.65308653977269e-70	25	4.43289721953714e-68	25	6.36872202010368e-70	24	2.32740901187825e-72
<https://identifiers.org/wikipathways/WP3651_r122573>	WP3651	Pathways affected in adenoid cystic carcinoma	66	20	8.5699450393085e-100	20	1.78265587679914e-99	20	5.38671982606442e-101	20	7.4882489542052e-99	20	8.17765939145084e-100	20	4.89944891826145e-100	20	9.10172748627619e-103	20	9.10172748627619e-103
<https://identifiers.org/wikipathways/WP3655_r117757>	WP3655	Hypothetical craniofacial development pathway	8	5	1.66461235641988e-09	5	1.7463633879433e-09	5	1.38888419175966e-09	5	1.91839935028643e-09	5	1.65951487391729e-09	5	1.60479184936009e-09	5	1.06342446130364e-09	5	1.06342446130364e-09
<https://identifiers.org/wikipathways/WP3656_r117955>	WP3656	Interleukin-1 induced activation of NF-kB	10	5	4.35012171788489e-15	5	4.71192049846199e-15	5	3.21695228560015e-15	5	5.51052944154852e-15	5	4.32794612109808e-15	5	4.09275004554889e-15	5	2.06162008768117e-15	5	2.06162008768117e-15
<https://identifiers.org/wikipathways/WP3657_r120797>	WP3657	Hematopoietic stem cell gene regulation by GABP alpha/beta complex	20	6	5.83857200229747e-38	6	7.30099335775709e-38	6	2.50969194671241e-38	6	1.13140598948591e-37	6	5.75567974794809e-38	6	4.92268198414912e-38	6	7.2265836973384e-39	6	7.2265836973384e-39
<https://identifiers.org/wikipathways/WP3658_r116670>	WP3658	Wnt/beta-catenin signaling pathway in leukemia	27	6	1.07272857407607e-54	6	1.49973822867297e-54	6	3.02536797483791e-55	6	2.89197783308539e-54	6	1.04997839172294e-54	6	8.30612215345807e-55	6	4.67931219591277e-56	6	4.67931219591277e-56
<https://identifiers.org/wikipathways/WP366_r120697>	WP366	TGF-beta signaling pathway	132	44	5.42369332718656e-163	44	2.19099978402202e-162	44	2.77575368081061e-165	44	3.37839306720274e-161	44	4.96025881607863e-163	44	1.86803171262828e-163	44	1.15853414921461e-168	44	1.15853414921461e-168
<https://identifiers.org/wikipathways/WP3664_r118061>	WP3664	Regulation of Wnt / B-catenin signaling by small molecule compounds	18	5	5.41880940465855e-36	5	6.6688810380985e-36	5	2.47389581420932e-36	5	1.00165158679699e-35	5	5.34732941635697e-36	5	4.62473017984543e-36	5	7.78531272109585e-37	5	7.78531272109585e-37
<https://identifiers.org/wikipathways/WP3668_r117756>	WP3668	Hypothesized pathways in pathogenesis of cardiovascular disease	25	10	1.25630100066447e-38	10	1.59622478354007e-38	11	2.88614573871933e-36	10	2.55211943063428e-38	10	1.2372021888113e-38	11	5.66108428177158e-36	11	8.31057125193925e-37	10	1.33962901188939e-39
<https://identifiers.org/wikipathways/WP3670_r117829>	WP3670	Interactions between LOXL4 and oxidative stress pathway	18	9	2.13550887181237e-24	9	2.46566299267609e-24	9	1.24072959395602e-24	9	3.2680023184797e-24	9	2.11596035472688e-24	9	1.91356132615233e-24	9	5.57133284321839e-25	9	5.57133284321839e-25
<https://identifiers.org/wikipathways/WP3672_r117771>	WP3672	lncRNA-mediated mechanisms of therapeutic resistance	7	2	3.62510143157076e-16	2	3.926600415385e-16	2	2.68079357133346e-16	2	4.59210786795711e-16	2	3.60662176758171e-16	2	3.4106250379574e-16	2	1.7180167397343e-16	2	1.7180167397343e-16
<https://identifiers.org/wikipathways/WP3674_r117841>	WP3674	Tgif disruption of Shh signaling	9	1	2.5795647067367e-25	1	2.93120775353105e-25	1	1.59186984925905e-25	1	3.76539469109893e-25	1	2.55856251037422e-25	1	2.33980297901602e-25	1	7.81269998458703e-26	1	7.81269998458703e-26
<https://identifiers.org/wikipathways/WP3676_r116809>	WP3676	BDNF-TrkB signaling	33	11	2.62149639984879e-54	11	3.72384510292297e-54	11	6.9615890177681e-55	11	7.40840768496896e-54	11	2.56328737042476e-54	11	2.00529139065698e-54	11	9.85320255101876e-56	11	9.85320255101876e-56
<https://identifiers.org/wikipathways/WP3678_r117647>	WP3678	Amplification and expansion of oncogenic pathways as metastatic traits	17	5	1.76924127062109e-33	5	2.14293377357574e-33	5	8.57892092905242e-34	5	3.1195882197689e-33	5	1.74768549757931e-33	5	1.52847332443889e-33	5	2.95063352129527e-34	5	2.95063352129527e-34
<https://identifiers.org/wikipathways/WP3679_r117678>	WP3679	Cell-type dependent selectivity of CCK2R signaling	13	4	3.14045422325347e-26	4	3.62597498922956e-26	4	1.82460234405296e-26	4	4.80588576247015e-26	4	3.11170640401015e-26	4	2.81406077375342e-26	4	8.19313653414472e-27	4	8.19313653414472e-27
<https://identifiers.org/wikipathways/WP368_r117795>	WP368	Mitochondrial long chain fatty acid beta-oxidation	17	12	1.06819655516951e-13	12	1.15703825573345e-13	12	7.89940505686255e-14	12	1.35314111842469e-13	12	1.06275121418075e-13	12	1.00499751118478e-13	12	5.06242265975041e-14	12	5.06242265975041e-14
<https://identifiers.org/wikipathways/WP3680_r117651>	WP3680	Physico-chemical features and toxicity-associated pathways	67	20	9.71386089720279e-102	20	2.0529038113706e-101	20	5.75064098703495e-103	20	8.89561489240662e-101	20	9.25981374391097e-102	20	5.48659664923157e-102	20	8.89462866949378e-105	20	8.89462866949378e-105
<https://identifiers.org/wikipathways/WP382_r119087>	WP382	MAPK signaling pathway	249	85	4.84425935572004e-258	85	6.42703959289965e-257	86	2.05735532878806e-260	85	1.01775801210598e-254	85	4.10576395280044e-258	86	4.7731276836551e-257	86	1.22740712756887e-266	85	1.51379625657413e-268
<https://identifiers.org/wikipathways/WP383_r118423>	WP383	Striated muscle contraction pathway	38	6	1.73759663165592e-79	6	2.89396670356236e-79	6	2.52960292009346e-80	6	7.86382651007381e-79	6	1.68180764244744e-79	6	1.1771281932055e-79	6	1.47535868302779e-81	6	1.47535868302779e-81
<https://identifiers.org/wikipathways/WP384_r121706>	WP384	Apoptosis modulation by HSP70	20	4	5.06695571777222e-44	4	6.54140888309723e-44	4	1.93084021096112e-44	4	1.0790617129166e-43	4	4.98483917278596e-44	4	4.16936736045077e-44	4	4.65492424754155e-45	4	4.65492424754155e-45
<https://identifiers.org/wikipathways/WP3844_r107714>	WP3844	PI3K-AKT-mTOR signaling pathway and therapeutic opportunities	30	13	3.62044798871812e-42	13	4.74907641113731e-42	13	1.2990047471149e-42	13	8.08257615658978e-42	13	3.55814382333353e-42	13	2.94307048300863e-42	13	2.86558118672646e-43	13	2.86558118672646e-43
<https://identifiers.org/wikipathways/WP3845_r116460>	WP3845	Canonical and non-canonical Notch signaling	29	9	1.01709567830385e-50	9	1.39948905996526e-50	9	3.04637747466314e-51	9	2.61572968385169e-50	9	9.96540324797498e-51	9	7.97170844653546e-51	9	5.14906314802465e-52	9	5.14906314802465e-52
<https://identifiers.org/wikipathways/WP3849_r116433>	WP3849	MAPK and NFkB signaling pathways inhibited by Yersinia YopJ	12	1	1.68003582840483e-33	1	2.002680351097e-33	1	8.65239908180607e-34	1	2.8256774356503e-33	1	1.66126148945724e-33	1	1.4691918768201e-33	1	3.25246788118213e-34	1	3.25246788118213e-34
<https://identifiers.org/wikipathways/WP3850_r121711>	WP3850	Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling	39	10	2.75444720384037e-70	10	4.37381853966999e-70	10	4.80185910622475e-71	10	1.08244020911811e-69	10	2.67415898607352e-70	10	1.93520034803539e-70	10	3.6534232097468e-72	10	3.6534232097468e-72
<https://identifiers.org/wikipathways/WP3851_r121712>	WP3851	TLR4 signaling and tolerance	29	11	3.20066806211053e-45	11	4.2658831124398e-45	12	5.62902057083125e-43	11	7.49053573592352e-45	11	3.14238245267226e-45	12	1.27533054263705e-42	12	1.24175184758146e-43	11	2.18266034436466e-46
<https://identifiers.org/wikipathways/WP3853_r120593>	WP3853	ERK pathway in Huntington's disease	15	2	6.64069779982673e-38	2	8.17264833100341e-38	2	3.03173506643298e-38	2	1.2275141995061e-37	2	6.55309977494717e-38	2	5.66756149490873e-38	2	9.54082441310752e-39	2	9.54082441310752e-39
<https://identifiers.org/wikipathways/WP3858_r117850>	WP3858	Toll-like receptor signaling related to MyD88	31	11	8.59908164384172e-50	11	1.18320438706151e-49	11	2.57557368312434e-50	11	2.2114805508928e-49	11	8.42529547328804e-50	11	6.73971714116193e-50	11	4.35329884333e-51	11	4.35329884333e-51
<https://identifiers.org/wikipathways/WP3859_r117840>	WP3859	TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition	19	6	1.71595631147523e-35	6	2.11181232873122e-35	6	7.83400341166293e-36	6	3.17189669152378e-35	6	1.69332098184633e-35	6	1.46449789028439e-35	6	2.46534902834702e-36	6	2.46534902834702e-36
<https://identifiers.org/wikipathways/WP3863_r121717>	WP3863	T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection	66	24	4.09549039553601e-90	24	7.99529827104829e-90	24	3.27177113132372e-91	24	2.96582421418093e-89	24	3.92391939864608e-90	24	2.45762790355334e-90	24	7.87394578614864e-93	24	7.87394578614864e-93
<https://identifiers.org/wikipathways/WP3865_r106524>	WP3865	Novel intracellular components of RIG-I-like receptor (RLR) pathway	60	19	1.88586700954861e-90	19	3.6236538242582e-90	22	4.26534586738507e-84	19	1.30301986223177e-89	19	1.80869864049106e-90	22	2.64571787710591e-83	22	1.46240483663117e-85	20	1.44051794373839e-90
<https://identifiers.org/wikipathways/WP3869_r118463>	WP3869	Cannabinoid receptor signaling	31	15	3.14308330129133e-39	15	4.05770134427403e-39	15	1.1977194912613e-39	15	6.693527711393e-39	15	3.09214558727091e-39	15	2.58630026736124e-39	15	2.8874960599925e-40	15	2.8874960599925e-40
<https://identifiers.org/wikipathways/WP3871_r106754>	WP3871	Valproic acid pathway	13	7	3.0278286963132e-17	7	3.33244952288668e-17	7	2.10802693019055e-17	7	4.02115536009718e-17	7	3.00931778331715e-17	7	2.81417154644173e-17	7	1.2359780842193e-17	7	1.2359780842193e-17
<https://identifiers.org/wikipathways/WP3872_r116648>	WP3872	Regulation of apoptosis by parathyroid hormone-related protein	22	9	3.14591990437121e-34	9	3.87165593600724e-34	9	1.43623395880485e-34	9	5.81514393446031e-34	9	3.10442180005165e-34	9	2.68491279885469e-34	9	4.51980655196953e-35	9	4.51980655196953e-35
<https://identifiers.org/wikipathways/WP3874_r116461>	WP3874	Canonical and non-canonical TGF-B signaling	17	9	6.96769089119659e-22	9	7.91751783203769e-22	9	4.2998173372764e-22	9	1.01707494378461e-21	9	6.91096162524418e-22	9	6.32006782443105e-22	9	2.11029707361456e-22	9	2.11029707361456e-22
<https://identifiers.org/wikipathways/WP3875_r117657>	WP3875	ATR signaling	9	3	1.48215390728618e-18	3	1.63126899721727e-18	3	1.03190129449887e-18	3	1.96839772871891e-18	3	1.47309262120421e-18	3	1.37756649126517e-18	3	6.0502423703042e-19	3	6.0502423703042e-19
<https://identifiers.org/wikipathways/WP3876_r116398>	WP3876	BMP2-WNT4-FOXO1 pathway in primary endometrial stromal cell differentiation	13	4	3.14045422325347e-26	4	3.62597498922956e-26	4	1.82460234405296e-26	4	4.80588576247015e-26	4	3.11170640401015e-26	4	2.81406077375342e-26	4	8.19313653414472e-27	4	8.19313653414472e-27
<https://identifiers.org/wikipathways/WP3877_r117828>	WP3877	MYD88 distinct input-output pathway	18	8	3.27197477805779e-27	8	3.83860351739917e-27	8	1.78980066446605e-27	8	5.24933443982087e-27	8	3.23871482866358e-27	8	2.89640967631533e-27	8	7.35327695981312e-28	8	7.35327695981312e-28
<https://identifiers.org/wikipathways/WP3878_r117656>	WP3878	ATM signaling in development and disease 	46	14	1.50981012465035e-74	14	2.51458833991609e-74	16	3.58948808912034e-70	14	6.83293502479219e-74	14	1.46133467343432e-74	16	1.5176469012704e-69	16	2.49939809686554e-71	14	1.28194969795916e-76
<https://identifiers.org/wikipathways/WP3879_r120671>	WP3879	4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression	18	6	5.30772381186324e-33	6	6.42880132072716e-33	6	2.57367627871572e-33	6	9.35876465930646e-33	6	5.24305649273788e-33	6	4.58541997331669e-33	6	8.85190056388581e-34	6	8.85190056388581e-34
