pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.rectum_Ensembl_BridgeDb_CD	probabilities.rectum_Ensembl_BridgeDb_CD	GenesInPWs.rectum_Ensembl_Hs_CD	probabilities.rectum_Ensembl_Hs_CD	GenesInPWs.rectum_Ensembl_PriID_BridgeDb_CD	probabilities.rectum_Ensembl_PriID_BridgeDb_CD	GenesInPWs.rectum_ENTREZ_BridgeDb_CD	probabilities.rectum_ENTREZ_BridgeDb_CD	GenesInPWs.rectum_ENTREZ_Hs_CD	probabilities.rectum_ENTREZ_Hs_CD	GenesInPWs.rectum_ENTREZ_PriID_BridgeDb_CD	probabilities.rectum_ENTREZ_PriID_BridgeDb_CD	GenesInPWs.rectum_HGNC_CD	probabilities.rectum_HGNC_CD	GenesInPWs.rectum_HGNC_PriID_BridgeDb_CD	probabilities.rectum_HGNC_PriID_BridgeDb_CD
<https://identifiers.org/wikipathways/WP2380_r120727>	WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	144	8	2.2547478834311e-177	8	3.0684568637203e-176	8	3.67870187520865e-180	8	1.86389930933771e-173	8	2.2547478834311e-177	8	2.74941241917464e-176	8	9.39300204379455e-184	8	9.39300204379455e-184
<https://identifiers.org/wikipathways/WP24_r113974>	WP24	Peptide GPCRs	75	13	1.27588007895806e-92	13	4.34548681176025e-92	13	6.28932624770364e-94	13	8.82921637029876e-91	13	1.27588007895806e-92	13	4.12715603191486e-92	13	1.30655226266786e-95	13	1.30655226266786e-95
<https://identifiers.org/wikipathways/WP2406_r119249>	WP2406	Cardiac progenitor differentiation	53	3	3.36823110235866e-86	3	9.09321460484089e-86	3	2.93913440417528e-87	3	1.04423468671196e-84	3	3.36823110235866e-86	3	8.72115181413532e-86	3	1.27441400283838e-88	3	1.27441400283838e-88
<https://identifiers.org/wikipathways/WP241_r120901>	WP241	One-carbon metabolism	29	2	2.63173436537895e-53	2	4.52237605417007e-53	2	6.96672860713736e-54	2	1.71175927581623e-52	2	2.63173436537895e-53	2	4.42053772767913e-53	2	1.26084767549563e-54	2	1.26084767549563e-54
<https://identifiers.org/wikipathways/WP2431_r120812>	WP2431	Spinal cord injury	117	19	1.64130528384247e-128	19	1.10770458308999e-127	20	1.01891988685662e-128	19	1.20550636867964e-125	19	1.64130528384247e-128	20	6.49114885690771e-126	19	3.57296527749422e-133	20	2.56717555187951e-131
<https://identifiers.org/wikipathways/WP2435_r120750>	WP2435	Quercetin and Nf-kB / AP-1 induced apoptosis	17	2	1.11197781468943e-32	2	1.50444108177663e-32	2	5.29505488731549e-33	2	3.16369030805419e-32	2	1.11197781468943e-32	2	1.48542961065056e-32	2	2.03966148027819e-33	2	2.03966148027819e-33
<https://identifiers.org/wikipathways/WP2436_r107129>	WP2436	Dopamine metabolism	13	1	6.88044495868306e-28	1	8.76539966469129e-28	1	3.7977218804357e-28	1	1.58987404173068e-27	1	6.88044495868306e-28	1	8.67656115457625e-28	1	1.76885829938359e-28	1	1.76885829938359e-28
<https://identifiers.org/wikipathways/WP244_r120686>	WP244	Alpha 6 beta 4 signaling pathway	33	1	1.87387198116355e-62	1	3.55492140741808e-62	1	3.89047138332856e-63	1	1.71589650353045e-61	1	1.87387198116355e-62	1	3.46043844642363e-62	1	5.15019179344245e-64	1	5.15019179344245e-64
<https://identifiers.org/wikipathways/WP2446_r116593>	WP2446	Retinoblastoma gene in cancer	90	5	1.65482529223702e-127	5	8.74396210980527e-127	5	2.77053570737773e-129	5	5.22062946786987e-125	5	1.65482529223702e-127	5	8.15268384462337e-127	5	1.43017857467587e-131	5	1.43017857467587e-131
<https://identifiers.org/wikipathways/WP2447_r113794>	WP2447	Amyotrophic lateral sclerosis (ALS)	38	4	3.11611307745094e-62	4	6.14950290553714e-62	4	5.8719606782817e-63	4	3.27046363477775e-61	4	3.11611307745094e-62	4	5.97613383523173e-62	4	6.86155098957642e-64	4	6.86155098957642e-64
<https://identifiers.org/wikipathways/WP2456_r119185>	WP2456	HIF1A and PPARG regulation of glycolysis	8	2	6.8024434972629e-15	2	7.68024644333305e-15	2	5.05014551735233e-15	2	1.03516214044349e-14	2	6.8024434972629e-15	2	7.64112804039599e-15	2	3.44355377994527e-15	2	3.44355377994527e-15
<https://identifiers.org/wikipathways/WP247_r118104>	WP247	Small ligand GPCRs	19	3	1.04678340936909e-33	3	1.44487180558162e-33	3	4.74556805938655e-34	3	3.19168756741756e-33	3	1.04678340936909e-33	3	1.42541225264451e-33	3	1.71602515683919e-34	3	1.71602515683919e-34
<https://identifiers.org/wikipathways/WP2485_r117161>	WP2485	NAD biosynthesis II (from tryptophan)	8	2	6.8024434972629e-15	2	7.68024644333305e-15	2	5.05014551735233e-15	2	1.03516214044349e-14	2	6.8024434972629e-15	2	7.64112804039599e-15	2	3.44355377994527e-15	2	3.44355377994527e-15
<https://identifiers.org/wikipathways/WP2491_r117698>	WP2491	Diclofenac metabolic pathway	5	2	3.49839708343393e-08	2	3.71755608873899e-08	2	3.01376650263572e-08	2	4.31677104834896e-08	2	3.49839708343393e-08	2	3.70806445617204e-08	2	2.48808468683897e-08	2	2.48808468683897e-08
<https://identifiers.org/wikipathways/WP2507_r110715>	WP2507	Nanomaterial induced apoptosis	21	3	2.99049238267922e-37	3	4.29615865937391e-37	3	1.22896542546029e-37	3	1.04703362851237e-36	3	2.99049238267922e-37	3	4.23117474687918e-37	3	3.91681810405387e-38	3	3.91681810405387e-38
<https://identifiers.org/wikipathways/WP2513_r119820>	WP2513	Nanoparticle triggered regulated necrosis	14	2	4.81631147107814e-27	2	6.13577976528392e-27	2	2.65840531630502e-27	2	1.11291182921147e-26	2	4.81631147107814e-27	2	6.07359280820331e-27	2	1.23820080956851e-27	2	1.23820080956851e-27
<https://identifiers.org/wikipathways/WP2516_r116808>	WP2516	ATM signaling pathway	41	2	8.42656939348989e-72	2	1.8348329423685e-71	2	1.24704324501484e-72	2	1.24257910557888e-70	2	8.42656939348989e-72	2	1.77574253381993e-71	2	1.06763050327672e-73	2	1.06763050327672e-73
<https://identifiers.org/wikipathways/WP2525_r116582>	WP2525	Trans-sulfuration and one-carbon metabolism	31	2	1.63499762170229e-56	2	2.92313714927592e-56	2	3.92684437290914e-57	2	1.21958845397869e-55	2	1.63499762170229e-56	2	2.85255348788625e-56	2	6.27033809795505e-58	2	6.27033809795505e-58
<https://identifiers.org/wikipathways/WP2526_r121697>	WP2526	PDGF pathway	41	3	3.46612887718893e-69	3	7.40049286755302e-69	3	5.38307000764725e-70	3	4.77564569577482e-68	3	3.46612887718893e-69	3	7.16808069485303e-69	3	4.90398277838449e-71	3	4.90398277838449e-71
<https://identifiers.org/wikipathways/WP2533_r120261>	WP2533	Glycerophospholipid biosynthetic pathway	44	4	4.5182787468575e-71	4	1.00332483438186e-70	4	6.3718521361791e-72	4	7.13029361970831e-70	4	4.5182787468575e-71	4	9.70211803544177e-71	4	5.12679419340022e-73	4	5.12679419340022e-73
<https://identifiers.org/wikipathways/WP2536_r117685>	WP2536	Colchicine metabolic pathway	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
<https://identifiers.org/wikipathways/WP254_r118382>	WP254	Apoptosis	87	14	5.93565727313933e-105	14	2.49660863345196e-104	14	1.74152917992337e-106	14	8.51584712919592e-103	14	5.93565727313933e-105	14	2.3502211392817e-104	14	1.85346599495225e-108	14	1.85346599495225e-108
<https://identifiers.org/wikipathways/WP2572_r119251>	WP2572	Primary focal segmental glomerulosclerosis (FSGS)	73	4	1.17647896304226e-109	4	4.58385217793215e-109	4	4.16642442026065e-111	4	1.29577192768794e-107	4	1.17647896304226e-109	4	4.32898851936834e-109	4	5.65160353781897e-113	4	5.65160353781897e-113
<https://identifiers.org/wikipathways/WP2583_r117181>	WP2583	T cell receptor and co-stimulatory signaling	32	1	6.96739672996269e-61	1	1.2959304403406e-60	1	1.51846277022035e-61	1	5.95884058498765e-60	1	6.96739672996269e-61	1	1.26253572408911e-60	1	2.13967059054837e-62	1	2.13967059054837e-62
<https://identifiers.org/wikipathways/WP2586_r121728>	WP2586	Aryl hydrocarbon receptor pathway	48	3	2.90228893374645e-79	3	7.10753543984714e-79	3	3.21803418081149e-80	3	6.42409084187123e-78	3	2.90228893374645e-79	3	6.84472599465976e-79	3	1.89966157235624e-81	3	1.89966157235624e-81
<https://identifiers.org/wikipathways/WP2597_r117821>	WP2597	Secretion of hydrochloric acid in parietal cells	5	1	5.83552474300908e-11	1	6.32775504466212e-11	1	4.78375635338997e-11	1	7.7223095677084e-11	1	5.83552474300908e-11	1	6.30623206831977e-11	1	3.70526386722106e-11	1	3.70526386722106e-11
<https://identifiers.org/wikipathways/WP26_r118660>	WP26	S1P receptor signal transduction	25	2	1.02447016757832e-46	2	1.62601139547809e-46	2	3.29616946804295e-47	2	5.06297788566005e-46	2	1.02447016757832e-46	2	1.59471577866131e-46	2	7.66766371655566e-48	2	7.66766371655566e-48
<https://identifiers.org/wikipathways/WP262_r116630>	WP262	Ebstein-Barr virus LMP1 signaling	24	3	2.02477103496315e-42	3	3.0882118989301e-42	4	2.29340403939849e-40	3	8.71933900321451e-42	3	2.02477103496315e-42	4	9.04846086386517e-40	3	1.89512136179094e-43	4	6.44341263008922e-41
<https://identifiers.org/wikipathways/WP2637_r117962>	WP2637	Interleukin-1 (IL-1) structural pathway	51	4	5.88197992164537e-81	4	1.49781245102044e-80	4	5.92531607451424e-82	4	1.49003933642932e-79	4	5.88197992164537e-81	4	1.44006250418039e-80	4	3.0912882495131e-83	4	3.0912882495131e-83
<https://identifiers.org/wikipathways/WP2640_r117652>	WP2640	Aripiprazole metabolic pathway	2	1	0.00167224080267564	1	0.00170648464163818	1	0.00159108989657917	1	0.00179372197309415	1	0.00167224080267564	1	0.00170502983802214	1	0.00149253731343287	1	0.00149253731343287
<https://identifiers.org/wikipathways/WP2643_r110709>	WP2643	Nanoparticle-mediated activation of receptor signaling	28	3	4.51346073640926e-49	3	7.45415447808768e-49	3	1.31711689809092e-49	3	2.55925719589106e-48	3	4.51346073640926e-49	3	7.29847038288947e-49	3	2.70225743362341e-50	3	2.70225743362341e-50
<https://identifiers.org/wikipathways/WP2646_r106722>	WP2646	Lidocaine metabolism	2	1	0.00167224080267564	1	0.00170648464163818	1	0.00159108989657917	1	0.00179372197309415	1	0.00167224080267564	1	0.00170502983802214	1	0.00149253731343287	1	0.00149253731343287
<https://identifiers.org/wikipathways/WP268_r117167>	WP268	Notch signaling	46	3	1.97648963929551e-76	3	4.65467959230847e-76	3	2.41252713209502e-77	3	3.82177023442999e-75	3	1.97648963929551e-76	3	4.48994607587281e-76	3	1.61174158915029e-78	3	1.61174158915029e-78
<https://identifiers.org/wikipathways/WP272_r120902>	WP272	Blood clotting cascade	23	4	3.11612262280828e-38	4	4.56692496143529e-38	4	1.21932648094689e-38	4	1.16901812892158e-37	4	3.11612262280828e-38	4	4.49406889571975e-38	4	3.64858240178799e-39	4	3.64858240178799e-39
<https://identifiers.org/wikipathways/WP2795_r117670>	WP2795	Cardiac hypertrophic response	54	2	3.51182123505478e-90	2	9.85677385025037e-90	2	2.78516628572798e-91	2	1.24534205380881e-88	2	3.51182123505478e-90	2	9.43802202001087e-90	2	1.06778451639166e-92	2	1.06778451639166e-92
<https://identifiers.org/wikipathways/WP2806_r116569>	WP2806	Complement system	136	22	2.41567269444369e-142	22	2.19586960129805e-141	22	1.06443430124502e-144	22	4.96051112762032e-139	22	2.41567269444369e-142	22	2.00121242046749e-141	22	9.81039490645926e-148	22	9.81039490645926e-148
<https://identifiers.org/wikipathways/WP2813_r102405>	WP2813	Mammary gland development pathway - Embryonic development (Stage 1 of 4)	20	2	4.27213197525603e-38	2	6.13736951339127e-38	2	1.75566489351474e-38	2	1.49576232644626e-37	2	4.27213197525603e-38	2	6.04453535268457e-38	2	5.59545443436273e-39	2	5.59545443436273e-39
<https://identifiers.org/wikipathways/WP2814_r102407>	WP2814	Mammary gland development pathway - Puberty (Stage 2 of 4)	14	2	4.81631147107814e-27	2	6.13577976528392e-27	2	2.65840531630502e-27	2	1.11291182921147e-26	2	4.81631147107814e-27	2	6.07359280820331e-27	2	1.23820080956851e-27	2	1.23820080956851e-27
<https://identifiers.org/wikipathways/WP2815_r102408>	WP2815	Mammary gland development pathway - Involution (Stage 4 of 4)	12	4	4.65725526885105e-18	4	5.47458565278608e-18	4	3.13176136670955e-18	4	8.14788902064975e-18	4	4.65725526885105e-18	4	5.43746981785196e-18	4	1.88030979753908e-18	4	1.88030979753908e-18
<https://identifiers.org/wikipathways/WP2816_r117724>	WP2816	Felbamate metabolism	4	1	1.39935883337357e-08	1	1.48702243549559e-08	1	1.20550660105429e-08	1	1.72670841933958e-08	1	1.39935883337357e-08	1	1.48322578246882e-08	1	9.9523387473559e-09	1	9.9523387473559e-09
<https://identifiers.org/wikipathways/WP2817_r102410>	WP2817	Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)	38	2	2.46962657958111e-67	2	5.06951811409979e-67	2	4.22450305756807e-68	2	2.97011114521763e-66	2	2.46962657958111e-67	2	4.91843975970617e-67	2	4.35826978297812e-69	2	4.35826978297812e-69
<https://identifiers.org/wikipathways/WP2826_r106727>	WP2826	Cocaine metabolism	6	1	2.91776237150454e-13	1	3.22844645135826e-13	1	2.27617272960665e-13	1	4.14064856177393e-13	1	2.91776237150454e-13	1	3.21473172556658e-13	1	1.65413565500943e-13	1	1.65413565500943e-13
<https://identifiers.org/wikipathways/WP2828_r119245>	WP2828	Bladder cancer	40	4	3.21051455345541e-65	4	6.59037354832971e-65	5	1.41909506709825e-63	4	3.86114448878291e-64	4	3.21051455345541e-65	5	1.5447835597285e-62	4	5.66575071787158e-67	5	1.55808144741473e-64
<https://identifiers.org/wikipathways/WP2839_r117746>	WP2839	Hair follicle development: organogenesis - part 2 of 3	32	4	5.33663223723615e-53	4	9.35403887768288e-53	4	1.3455986717835e-53	4	3.71730560772709e-52	4	5.33663223723615e-53	4	9.13577797053705e-53	4	2.287419338134e-54	4	2.287419338134e-54
<https://identifiers.org/wikipathways/WP2840_r120866>	WP2840	Hair follicle development: cytodifferentiation - part 3 of 3	88	10	3.7832966813641e-114	10	1.75044144851636e-113	10	8.78089626757189e-116	10	7.54436296503242e-112	10	3.7832966813641e-114	10	1.64121390212891e-113	10	6.90766868422162e-118	10	6.90766868422162e-118
<https://identifiers.org/wikipathways/WP2846_r116729>	WP2846	PCSK9-mediated LDL receptor degradation	2	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1
<https://identifiers.org/wikipathways/WP2848_r120814>	WP2848	Pluripotent stem cell differentiation pathway	50	9	2.76616628458503e-68	9	6.26415760871907e-68	9	3.71748690165515e-69	9	4.67142266842699e-67	9	2.76616628458503e-68	9	6.05242598303277e-68	9	2.81119214938103e-70	9	2.81119214938103e-70
<https://identifiers.org/wikipathways/WP2849_r117150>	WP2849	Hematopoietic stem cell differentiation	94	9	4.005072526589e-123	9	2.11624771411213e-122	9	6.70535826205055e-125	9	1.26351704626181e-120	9	4.005072526589e-123	9	1.9731442489573e-122	9	3.46137380448616e-127	9	3.46137380448616e-127
<https://identifiers.org/wikipathways/WP2853_r116557>	WP2853	Endoderm differentiation	145	7	1.47306395561738e-180	7	2.07888574390635e-179	7	2.19754963341072e-183	7	1.38044401464872e-176	7	1.47306395561738e-180	7	1.85988861973911e-179	7	4.99799196111009e-187	7	4.99799196111009e-187
<https://identifiers.org/wikipathways/WP2855_r117704>	WP2855	Dopaminergic neurogenesis	30	2	6.45560351278569e-55	2	1.13153696101003e-54	2	1.62774032877039e-55	2	4.49674065450855e-54	2	6.45560351278569e-55	2	1.1051344319198e-54	2	2.76703952193629e-56	2	2.76703952193629e-56
<https://identifiers.org/wikipathways/WP2857_r118395>	WP2857	Mesodermal commitment pathway	153	8	6.0108593496098e-186	8	9.62969379632218e-185	8	6.56180040988048e-189	8	8.72421960222708e-182	8	6.0108593496098e-186	8	8.5694769394762e-185	8	9.96653802699658e-193	8	9.96653802699658e-193
<https://identifiers.org/wikipathways/WP2858_r116763>	WP2858	Ectoderm differentiation	142	14	4.88407913955645e-163	14	5.74402842736624e-162	14	1.14148596919003e-165	14	2.43988008486446e-159	14	4.88407913955645e-163	14	5.17846255144104e-162	14	4.63762873379231e-169	14	4.63762873379231e-169
<https://identifiers.org/wikipathways/WP286_r120663>	WP286	IL-3 signaling pathway	49	6	1.82074225571906e-73	6	4.28789084043468e-73	7	4.12417653188245e-72	6	3.5206147399569e-72	6	1.82074225571906e-73	7	7.17915437855608e-71	6	1.48473635192522e-75	7	2.93129376908664e-73
<https://identifiers.org/wikipathways/WP2864_r108133>	WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	53	5	2.60832448335566e-81	5	6.7727171698316e-81	5	2.50462746953397e-82	5	7.06806955455976e-80	5	2.60832448335566e-81	5	6.50624960905114e-81	5	1.22849176866015e-83	5	1.22849176866015e-83
<https://identifiers.org/wikipathways/WP2865_r120807>	WP2865	IL1 and megakaryocytes in obesity	24	10	1.29355711996132e-26	10	1.7153944120398e-26	10	6.4702361919734e-27	10	3.43393463238244e-26	10	1.29355711996132e-26	10	1.69514523685551e-26	10	2.65509996082681e-27	10	2.65509996082681e-27
<https://identifiers.org/wikipathways/WP2868_r117183>	WP2868	TCA cycle nutrient use and invasiveness of ovarian cancer	5	1	5.83552474300908e-11	1	6.32775504466212e-11	1	4.78375635338997e-11	1	7.7223095677084e-11	1	5.83552474300908e-11	1	6.30623206831977e-11	1	3.70526386722106e-11	1	3.70526386722106e-11
<https://identifiers.org/wikipathways/WP2870_r106411>	WP2870	Extracellular vesicle-mediated signaling in recipient cells	30	2	6.45560351278569e-55	2	1.13153696101003e-54	2	1.62774032877039e-55	2	4.49674065450855e-54	2	6.45560351278569e-55	2	1.1051344319198e-54	2	2.76703952193629e-56	2	2.76703952193629e-56
<https://identifiers.org/wikipathways/WP2873_r120645>	WP2873	Aryl hydrocarbon receptor pathway	46	7	5.50035890590652e-67	7	1.19766885480161e-66	7	8.13995007750976e-68	7	8.11081085375534e-66	7	5.50035890590652e-67	7	1.15909818152558e-66	7	6.96885134708865e-69	7	6.96885134708865e-69
<https://identifiers.org/wikipathways/WP2874_r116465>	WP2874	Liver X receptor pathway	10	5	1.2254601960319e-11	5	1.35594750957046e-11	5	9.55992546434793e-12	5	1.73907239594505e-11	5	1.2254601960319e-11	5	1.35018732473796e-11	5	6.9473697510396e-12	5	6.9473697510396e-12
<https://identifiers.org/wikipathways/WP2875_r117690>	WP2875	Constitutive androstane receptor pathway	32	8	7.07181923782713e-44	8	1.14496238735109e-43	9	3.08178660584141e-42	8	3.74368508223116e-43	8	7.07181923782713e-44	9	1.4909954644172e-41	8	4.73372192339524e-45	9	7.16895886843066e-43
<https://identifiers.org/wikipathways/WP2876_r116466>	WP2876	Pregnane X receptor pathway	33	8	1.91286913810076e-45	8	3.15917715573462e-45	8	5.58212957366616e-46	8	1.0846497604357e-44	8	1.91286913810076e-45	8	3.09319601213114e-45	8	1.14525530404723e-46	8	1.14525530404723e-46
<https://identifiers.org/wikipathways/WP2877_r119905>	WP2877	Vitamin D receptor pathway	186	30	1.32918103481186e-174	30	2.59543515610587e-173	30	8.91107409908311e-178	30	3.81835039761034e-170	30	1.32918103481186e-174	30	2.29054970102124e-173	30	7.20503640039521e-182	30	7.20503640039521e-182
<https://identifiers.org/wikipathways/WP2878_r116507>	WP2878	PPAR-alpha pathway	26	2	2.18508813429337e-48	2	3.53776537928285e-48	2	6.69534423196219e-49	2	1.15674362941265e-47	2	2.18508813429337e-48	2	3.46677343187244e-48	2	1.4626504521676e-49	2	1.4626504521676e-49
<https://identifiers.org/wikipathways/WP2879_r116462>	WP2879	Farnesoid X receptor pathway	19	3	1.04678340936909e-33	3	1.44487180558162e-33	3	4.74556805938655e-34	3	3.19168756741756e-33	3	1.04678340936909e-33	3	1.42541225264451e-33	3	1.71602515683919e-34	3	1.71602515683919e-34
<https://identifiers.org/wikipathways/WP288_r118398>	WP288	Nod-like receptor (NLR) signaling pathway	10	1	7.03300403027945e-22	1	8.4354170304871e-22	1	4.50127397299248e-22	1	1.31917575012545e-21	1	7.03300403027945e-22	1	8.37113358148251e-22	1	2.5361610433492e-22	1	2.5361610433492e-22
<https://identifiers.org/wikipathways/WP2880_r117734>	WP2880	Glucocorticoid receptor pathway	71	16	6.34747689196229e-82	16	1.88835038157864e-81	16	4.36308084434147e-83	16	2.7524295302565e-80	16	6.34747689196229e-82	16	1.80370549894868e-81	16	1.39118939436663e-84	16	1.39118939436663e-84
<https://identifiers.org/wikipathways/WP2881_r117716>	WP2881	Estrogen receptor pathway	13	3	1.66924411009121e-22	3	2.04278515725596e-22	3	1.01687547889088e-22	3	3.35662157060388e-22	3	1.66924411009121e-22	3	2.02550271091708e-22	3	5.37688701555125e-23	3	5.37688701555125e-23
<https://identifiers.org/wikipathways/WP2882_r120815>	WP2882	Nuclear receptors meta-pathway	318	54	4.58837750965734e-237	54	5.76136899028692e-235	55	8.62608541637287e-241	54	8.04500658318333e-230	54	4.58837750965734e-237	55	1.22769535574845e-233	54	6.58727322995961e-249	55	1.91989072502277e-247
<https://identifiers.org/wikipathways/WP2884_r106658>	WP2884	NRF2 pathway	143	20	1.00673532759688e-152	20	1.08027653511731e-151	20	2.94869211558157e-155	20	3.66517966522131e-149	20	1.00673532759688e-152	20	9.77671119040541e-152	20	1.60362516382941e-158	20	1.60362516382941e-158
<https://identifiers.org/wikipathways/WP289_r122789>	WP289	Myometrial relaxation and contraction pathways	156	11	2.26088456336624e-182	11	3.62204882658966e-181	11	2.46811186083623e-185	11	3.28146979971776e-178	11	2.26088456336624e-182	11	3.22326592616803e-181	11	3.74874716988742e-189	11	3.74874716988742e-189
<https://identifiers.org/wikipathways/WP2895_r118446>	WP2895	Differentiation of white and brown adipocyte	25	2	1.02447016757832e-46	2	1.62601139547809e-46	2	3.29616946804295e-47	2	5.06297788566005e-46	2	1.02447016757832e-46	2	1.59471577866131e-46	2	7.66766371655566e-48	2	7.66766371655566e-48
<https://identifiers.org/wikipathways/WP2911_r120808>	WP2911	miRNA targets in ECM and membrane receptors	41	7	9.4907901158936e-60	7	1.8729628849436e-59	7	1.78843145229947e-60	7	9.96089781335169e-59	7	9.4907901158936e-60	7	1.82015961953058e-59	7	2.08983238711098e-61	7	2.08983238711098e-61
<https://identifiers.org/wikipathways/WP299_r117807>	WP299	Nuclear receptors in lipid metabolism and toxicity	35	8	1.52561641161019e-48	8	2.62162139860242e-48	8	4.03861257355748e-49	8	9.92306852190682e-48	8	1.52561641161019e-48	8	2.56258572073561e-48	8	7.30913397484812e-50	8	7.30913397484812e-50
<https://identifiers.org/wikipathways/WP3_r120028>	WP3	Transcriptional activation by NRF2 in response to phytochemicals	15	3	2.40815573553907e-26	3	3.06788988264195e-26	3	1.32920265815249e-26	3	5.56455914605738e-26	3	2.40815573553907e-26	3	3.03679640410163e-26	3	6.1910040478426e-27	3	6.1910040478426e-27
<https://identifiers.org/wikipathways/WP304_r120696>	WP304	Kit receptor signaling pathway	58	7	1.76950534577114e-83	7	4.87095676084564e-83	7	1.4720138571999e-84	7	5.86732613824381e-82	7	1.76950534577114e-83	7	4.66783427940405e-83	7	6.00155477187017e-86	7	6.00155477187017e-86
<https://identifiers.org/wikipathways/WP306_r116784>	WP306	Focal adhesion	198	20	4.1509789277039e-202	20	1.19833792192307e-200	20	1.06176065694712e-205	20	4.59250343700575e-197	20	4.1509789277039e-202	20	1.04033484777317e-200	20	2.46755001981256e-210	20	2.46755001981256e-210
<https://identifiers.org/wikipathways/WP313_r118735>	WP313	Hepatocyte growth factor receptor signaling	34	2	3.18558236797802e-61	2	6.04336639261088e-61	2	6.61380135165845e-62	2	2.91702405600181e-60	2	3.18558236797802e-61	2	5.88274535892017e-61	2	8.75532604885219e-63	2	8.75532604885219e-63
<https://identifiers.org/wikipathways/WP314_r121827>	WP314	Fas ligand pathway and stress induction of heat shock proteins	43	5	3.12991437610147e-67	5	6.68264505940034e-67	5	4.86091221690568e-68	5	4.31240806328476e-66	5	3.12991437610147e-67	5	6.4727768674522e-67	5	4.42829644888117e-69	5	4.42829644888117e-69
<https://identifiers.org/wikipathways/WP322_r117584>	WP322	Osteoblast signaling	14	3	1.93776264853043e-24	3	2.41954248744363e-24	3	1.12361931369157e-24	3	4.17712906564039e-24	3	1.93776264853043e-24	3	2.39704462830424e-24	3	5.5760309790902e-25	3	5.5760309790902e-25
<https://identifiers.org/wikipathways/WP325_r116669>	WP325	Triacylglyceride synthesis	24	3	2.02477103496315e-42	3	3.0882118989301e-42	3	7.18372447736427e-43	3	8.71933900321451e-42	3	2.02477103496315e-42	3	3.03385108595649e-42	3	1.89512136179094e-43	3	1.89512136179094e-43
<https://identifiers.org/wikipathways/WP3286_r106367>	WP3286	Copper homeostasis	55	3	6.43833893093359e-89	3	1.80707520587918e-88	3	5.10613819050115e-90	3	2.28312709864939e-87	3	6.43833893093359e-89	3	1.73030403700196e-88	3	1.95760494671804e-91	3	1.95760494671804e-91
<https://identifiers.org/wikipathways/WP3287_r121705>	WP3287	Overview of nanoparticle effects	22	5	3.99021398620888e-34	5	5.61894591059518e-34	6	3.65408740572762e-32	5	1.30376627422363e-33	5	3.99021398620888e-34	6	1.09756743453627e-31	5	5.84663438392126e-35	6	1.32133937076618e-32
<https://identifiers.org/wikipathways/WP3297_r106734>	WP3297	EV release from cardiac cells and their functional effects	12	2	3.85210179251818e-23	2	4.71411959366764e-23	2	2.34663572051742e-23	2	7.74604977831665e-23	2	3.85210179251818e-23	2	4.67423702519325e-23	2	1.24082008051183e-23	2	1.24082008051183e-23
<https://identifiers.org/wikipathways/WP3298_r120642>	WP3298	Melatonin metabolism and effects	40	3	1.04237485501801e-67	3	2.18224289679797e-67	3	1.69894941216969e-68	3	1.34183996134941e-66	3	1.04237485501801e-67	3	2.11545796116397e-67	3	1.64702055752086e-69	3	1.64702055752086e-69
<https://identifiers.org/wikipathways/WP3303_r120561>	WP3303	RAC1/PAK1/p38/MMP2 pathway	68	9	4.33652609275228e-92	9	1.3939068038036e-91	9	2.46447639297665e-93	9	2.45696465811029e-90	9	4.33652609275228e-92	9	1.32709892287393e-91	9	6.14998612842616e-95	9	6.14998612842616e-95
<https://identifiers.org/wikipathways/WP334_r117741>	WP334	GPCRs, class B secretin-like	23	NA	NA	NA	NA	3	3.82234006566423e-41	NA	NA	NA	NA	3	1.50807681064421e-40	NA	NA	3	1.07390210501487e-41
<https://identifiers.org/wikipathways/WP34_r116553>	WP34	Ovarian infertility	32	3	1.74399746314906e-55	3	3.11801295922765e-55	3	4.18863399776977e-56	3	1.30089435091059e-54	3	1.74399746314906e-55	3	3.04272372041197e-55	3	6.68836063781861e-57	3	6.68836063781861e-57
<https://identifiers.org/wikipathways/WP3408_r118453>	WP3408	Evolocumab mechanism to reduce LDL cholesterol	2	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1
<https://identifiers.org/wikipathways/WP3413_r116601>	WP3413	NOTCH1 regulation of endothelial cell calcification	17	6	6.58839300500343e-23	6	8.22644445730827e-23	6	3.82030566655132e-23	6	1.42022388231773e-22	6	6.58839300500343e-23	6	8.14995173623443e-23	6	1.89585053289067e-23	6	1.89585053289067e-23
<https://identifiers.org/wikipathways/WP35_r117729>	WP35	G protein signaling pathways	92	3	1.02419471457093e-134	3	5.83653760884946e-134	3	1.42387834658322e-136	3	4.19457280954759e-132	3	1.02419471457093e-134	3	5.42460117174621e-134	3	5.78312943489932e-139	3	5.78312943489932e-139
