pathwayRes	pathway	pathwayTitle	TotalGenesinPW	GenesInPWs.ileum_Ensembl_BridgeDb_CD	probabilities.ileum_Ensembl_BridgeDb_CD	GenesInPWs.ileum_Ensembl_Hs_CD	probabilities.ileum_Ensembl_Hs_CD	GenesInPWs.ileum_Ensembl_PriID_BridgeDb_CD	probabilities.ileum_Ensembl_PriID_BridgeDb_CD	GenesInPWs.ileum_ENTREZ_BridgeDb_CD	probabilities.ileum_ENTREZ_BridgeDb_CD	GenesInPWs.ileum_ENTREZ_Hs_CD	probabilities.ileum_ENTREZ_Hs_CD	GenesInPWs.ileum_ENTREZ_PriID_BridgeDb_CD	probabilities.ileum_ENTREZ_PriID_BridgeDb_CD	GenesInPWs.ileum_HGNC_CD	probabilities.ileum_HGNC_CD	GenesInPWs.ileum_HGNC_PriID_BridgeDb_CD	probabilities.ileum_HGNC_PriID_BridgeDb_CD
<https://identifiers.org/wikipathways/WP2406_r119249>	WP2406	Cardiac progenitor differentiation	53	7	1.29482540327681e-83	7	2.9111345199252e-83	7	9.35902873546024e-85	7	5.91581561379641e-82	7	1.2273639518138e-83	7	4.26977162095965e-83	7	7.98579596427489e-86	7	7.98579596427489e-86
<https://identifiers.org/wikipathways/WP241_r120901>	WP241	One-carbon metabolism	29	3	1.3197960007544e-54	3	2.09192113818244e-54	3	2.96456713078699e-55	3	1.15969062808239e-53	3	1.28025380040459e-54	3	2.60089854050687e-54	3	7.32088254436557e-56	3	7.32088254436557e-56
<https://identifiers.org/wikipathways/WP2431_r120812>	WP2431	Spinal cord injury	117	28	5.128301183407e-126	28	2.41185933802258e-125	29	2.19549803223356e-126	28	7.5949400062882e-123	28	4.629792621597e-126	29	3.00835392689835e-123	28	3.04618521889314e-130	29	2.08506126189757e-128
<https://identifiers.org/wikipathways/WP2435_r120750>	WP2435	Quercetin and Nf-kB / AP-1 induced apoptosis	17	2	6.0511757202581e-35	2	7.89989152998412e-35	2	2.54981812659205e-35	2	2.12905532395515e-34	2	5.94557257826735e-35	2	8.96117214978988e-35	2	1.13514445125714e-35	2	1.13514445125714e-35
<https://identifiers.org/wikipathways/WP2436_r107129>	WP2436	Dopamine metabolism	13	1	1.05756629431435e-29	1	1.30922671768818e-29	1	5.2940323783702e-30	1	2.89591755152473e-29	1	1.04276239801604e-29	1	1.44826879816044e-29	1	2.76944605553207e-30	1	2.76944605553207e-30
<https://identifiers.org/wikipathways/WP244_r120686>	WP244	Alpha 6 beta 4 signaling pathway	33	5	2.18426463650708e-56	5	3.58595522549777e-56	5	4.37790826976221e-57	5	2.26530440253468e-55	5	2.11391044134192e-56	5	4.53312431746599e-56	5	9.71618909238888e-58	5	9.71618909238888e-58
<https://identifiers.org/wikipathways/WP2446_r116593>	WP2446	Retinoblastoma gene in cancer	90	12	6.9001323436911e-124	12	2.69146097575147e-123	12	8.34267441598881e-126	12	4.23229746881483e-121	12	6.30685923431283e-124	12	5.12176949941827e-123	12	1.33052586734229e-127	12	1.33052586734229e-127
<https://identifiers.org/wikipathways/WP2447_r113794>	WP2447	Amyotrophic lateral sclerosis (ALS)	38	4	2.48377253515231e-67	4	4.52989135757441e-67	4	3.539388771601e-68	4	4.2302853839373e-66	4	2.38713147824357e-67	4	6.0182929185002e-67	4	5.70604835826508e-69	4	5.70604835826508e-69
<https://identifiers.org/wikipathways/WP2453_r117835>	WP2453	TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc)	16	1	7.11903025912711e-36	1	9.29399003527545e-36	1	2.99978603128478e-36	1	2.50477096935903e-35	1	6.99479126854986e-36	1	1.05425554703409e-35	1	1.33546406030252e-36	1	1.33546406030252e-36
<https://identifiers.org/wikipathways/WP2456_r119185>	WP2456	HIF1A and PPARG regulation of glycolysis	8	1	9.86663307336237e-19	1	1.11770797428111e-18	1	6.58589593860051e-19	1	1.77727981556176e-18	1	9.78571198852386e-19	1	1.18559608481693e-18	1	4.51073175344072e-19	1	4.51073175344072e-19
<https://identifiers.org/wikipathways/WP247_r118104>	WP247	Small ligand GPCRs	19	3	4.03175939280781e-36	3	5.35745172170245e-36	3	1.60419021209435e-36	3	1.54200957389379e-35	3	3.9567733445562e-36	3	6.12821610723476e-36	3	6.76812068218155e-37	3	6.76812068218155e-37
<https://identifiers.org/wikipathways/WP2485_r117161>	WP2485	NAD biosynthesis II (from tryptophan)	8	2	8.39650474543144e-16	2	9.34403866498999e-16	2	5.93718518864845e-16	2	1.39072145567707e-15	2	8.33742661422241e-16	2	9.82859154313241e-16	2	4.29196126339885e-16	2	4.29196126339885e-16
<https://identifiers.org/wikipathways/WP2507_r110715>	WP2507	Nanomaterial induced apoptosis	21	1	1.17858004038033e-45	1	1.68076388263097e-45	1	3.72931306442996e-46	1	6.29089081236571e-45	1	1.15127531661962e-45	1	1.98787608384662e-45	1	1.26954309660941e-46	1	1.26954309660941e-46
<https://identifiers.org/wikipathways/WP2509_r101755>	WP2509	Nanoparticle triggered autophagic cell death	23	2	1.7376500595351e-46	2	2.52214271830156e-46	2	5.1927143935101e-47	2	1.00797680527456e-45	2	1.69541708442819e-46	2	3.00797039003113e-46	2	1.67550549526437e-47	2	1.67550549526437e-47
<https://identifiers.org/wikipathways/WP2513_r119820>	WP2513	Nanoparticle triggered regulated necrosis	14	1	8.66857618290436e-32	1	1.0923226488459e-31	1	4.09709526242026e-32	1	2.58070310129512e-31	1	8.53723600714867e-32	1	1.21849538306767e-31	1	2.0310238228103e-32	1	2.0310238228103e-32
<https://identifiers.org/wikipathways/WP2516_r116808>	WP2516	ATM signaling pathway	41	4	3.06287460382302e-72	4	5.88685651572201e-72	4	3.68180213539894e-73	4	6.68056727181408e-71	4	2.93352133586983e-72	4	8.01745777852447e-72	4	5.06084053555118e-74	4	5.06084053555118e-74
<https://identifiers.org/wikipathways/WP2525_r116582>	WP2525	Trans-sulfuration and one-carbon metabolism	31	3	4.13686484186948e-58	3	6.79158186647299e-58	3	8.29149293515588e-59	3	4.29034924722474e-57	3	4.00361826011728e-58	3	8.58546272247344e-58	3	1.84018732810397e-59	3	1.84018732810397e-59
<https://identifiers.org/wikipathways/WP2526_r121697>	WP2526	PDGF pathway	41	4	3.06287460382302e-72	4	5.88685651572201e-72	4	3.68180213539894e-73	4	6.68056727181408e-71	4	2.93352133586983e-72	4	8.01745777852447e-72	4	5.06084053555118e-74	4	5.06084053555118e-74
<https://identifiers.org/wikipathways/WP2533_r120261>	WP2533	Glycerophospholipid biosynthetic pathway	44	1	2.13778701416652e-85	1	4.56200838047485e-85	1	1.8301961610935e-86	1	7.63696234604156e-84	1	2.03340222578596e-85	1	6.52811296655358e-85	1	1.83020746631962e-87	1	1.83020746631962e-87
<https://identifiers.org/wikipathways/WP254_r118382>	WP254	Apoptosis	87	8	6.55548846353512e-129	8	2.60101501367588e-128	8	7.49903318291118e-131	8	4.35741333023719e-126	8	5.98510024513449e-129	8	4.98970854655272e-128	8	1.13542244404126e-132	8	1.13542244404126e-132
<https://identifiers.org/wikipathways/WP2542_r117834>	WP2542	Sulindac metabolic pathway	6	1	5.10087663284958e-14	1	5.57638878899941e-14	1	3.82100275355155e-14	1	7.76817270242475e-14	1	5.07094197286457e-14	1	5.81642006677515e-14	1	2.91546797249452e-14	1	2.91546797249452e-14
<https://identifiers.org/wikipathways/WP2572_r119251>	WP2572	Primary focal segmental glomerulosclerosis (FSGS)	73	9	7.89567850329472e-108	9	2.42312385780432e-107	9	2.07920140025055e-109	9	1.56413980766667e-105	9	7.33204501847963e-108	9	4.11708174093814e-107	9	6.88293736035147e-111	9	6.88293736035147e-111
<https://identifiers.org/wikipathways/WP2583_r117181>	WP2583	T cell receptor and co-stimulatory signaling	32	1	1.54741003321976e-65	1	2.67770797681344e-65	1	2.61475964948432e-66	1	2.05703913002685e-64	1	1.49237176218465e-65	1	3.47025947733412e-65	1	4.94532152743953e-67	1	4.94532152743953e-67
<https://identifiers.org/wikipathways/WP2586_r121728>	WP2586	Aryl hydrocarbon receptor pathway	48	6	2.40985632654102e-78	6	5.05383302956351e-78	6	2.18301295812671e-79	6	7.93028737800562e-77	6	2.29482454954198e-78	6	7.17262311476061e-78	6	2.30173369898781e-80	6	2.30173369898781e-80
<https://identifiers.org/wikipathways/WP2596_r122782>	WP2596	Gastric acid production	14	3	4.212286550254e-26	3	5.12300414631387e-26	3	2.23337579268843e-26	3	1.06087112970856e-25	3	4.15818885582187e-26	3	5.61976569312849e-26	3	1.23295738392287e-26	3	1.23295738392287e-26
<https://identifiers.org/wikipathways/WP2597_r117821>	WP2597	Secretion of hydrochloric acid in parietal cells	5	1	1.4452483793074e-11	1	1.55209487960484e-11	1	1.14693765985773e-11	1	2.02360898898162e-11	1	1.43845720630258e-11	1	1.60533193842994e-11	1	9.23717435952005e-12	1	9.23717435952005e-12
<https://identifiers.org/wikipathways/WP26_r118660>	WP26	S1P receptor signal transduction	25	4	8.68825029767572e-45	4	1.26107135915079e-44	4	2.59635719675506e-45	4	5.03988402637277e-44	4	8.47708542214096e-45	4	1.50398519501555e-44	4	8.3775274763218e-46	4	8.3775274763218e-46
<https://identifiers.org/wikipathways/WP262_r116630>	WP262	Ebstein-Barr virus LMP1 signaling	24	1	2.82754875600926e-51	1	4.25131583584796e-51	2	6.8550685062838e-49	1	1.93688046554334e-50	1	2.75241216677333e-51	2	4.3150800574265e-48	1	2.18506075224617e-52	2	2.0965657917802e-49
<https://identifiers.org/wikipathways/WP2636_r116781>	WP2636	Common pathways underlying drug addiction	41	2	1.2231023681649e-77	2	2.43433564452212e-77	2	1.31282334661918e-78	2	3.14526168512116e-76	2	1.16874912118485e-77	2	3.37055620398945e-77	2	1.62280545940091e-79	2	1.62280545940091e-79
<https://identifiers.org/wikipathways/WP2637_r117962>	WP2637	Interleukin-1 (IL-1) structural pathway	51	5	1.97324626043634e-85	5	4.4364169026437e-85	5	1.42626707869862e-86	5	9.01539389620671e-84	5	1.87043853324308e-85	5	6.50690885632483e-85	5	1.21699357946131e-87	5	1.21699357946131e-87
<https://identifiers.org/wikipathways/WP2643_r110709>	WP2643	Nanoparticle-mediated activation of receptor signaling	28	1	1.58572149555976e-58	1	2.55798622912988e-58	1	3.36455686623448e-59	1	1.51379174774157e-57	1	1.53642747468347e-58	1	3.20689475217635e-58	1	7.87657490383101e-60	1	7.87657490383101e-60
<https://identifiers.org/wikipathways/WP268_r117167>	WP268	Notch signaling	46	5	1.11327671255368e-77	5	2.29438643124056e-77	5	1.06712175985024e-78	5	3.37459037361939e-76	5	1.06135635416312e-77	5	3.22958801417271e-77	5	1.18637231612721e-79	5	1.18637231612721e-79
<https://identifiers.org/wikipathways/WP272_r120902>	WP272	Blood clotting cascade	23	5	1.46084216178016e-38	5	2.01102731853791e-38	5	5.18311192219926e-39	5	6.60115773595832e-38	5	1.43032932561056e-38	5	2.33911460485811e-38	5	1.96417872240973e-39	5	1.96417872240973e-39
<https://identifiers.org/wikipathways/WP2795_r117670>	WP2795	Cardiac hypertrophic response	54	4	1.58904726864335e-92	4	3.8294752181268e-92	4	9.16915926107123e-94	4	1.00717557461291e-90	4	1.49936497666424e-92	4	5.80408015077681e-92	4	6.33431653089449e-95	4	6.33431653089449e-95
<https://identifiers.org/wikipathways/WP2805_r106523>	WP2805	exRNA mechanism of action and biogenesis	6	1	5.10087663284958e-14	1	5.57638878899941e-14	1	3.82100275355155e-14	1	7.76817270242475e-14	1	5.07094197286457e-14	1	5.81642006677515e-14	1	2.91546797249452e-14	1	2.91546797249452e-14
<https://identifiers.org/wikipathways/WP2806_r116569>	WP2806	Complement system	136	27	1.10380157839354e-149	27	7.27288968967215e-149	27	2.43178967213919e-152	26	1.29543547018103e-147	26	1.45616088298798e-151	26	2.71849668766512e-150	27	7.84331804874366e-155	27	7.84331804874366e-155
<https://identifiers.org/wikipathways/WP2813_r102405>	WP2813	Mammary gland development pathway - Embryonic development (Stage 1 of 4)	20	4	2.01587969640393e-35	4	2.67872586085122e-35	4	8.02095106047161e-36	4	7.71004786946909e-35	4	1.97838667227809e-35	4	3.06410805361739e-35	4	3.3840603410908e-36	4	3.3840603410908e-36
<https://identifiers.org/wikipathways/WP2814_r102407>	WP2814	Mammary gland development pathway - Puberty (Stage 2 of 4)	14	4	1.79654021368333e-23	4	2.14653873730548e-23	4	1.00892751434701e-23	4	4.16126700628186e-23	4	1.77554664143593e-23	4	2.33501264549489e-23	4	5.87812432785232e-24	4	5.87812432785232e-24
<https://identifiers.org/wikipathways/WP2815_r102408>	WP2815	Mammary gland development pathway - Involution (Stage 4 of 4)	12	2	1.18453200902199e-24	2	1.41530026635527e-24	2	6.65226932536489e-25	2	2.74369253161439e-24	2	1.17069009325448e-24	2	1.53956877724938e-24	2	3.87568637001251e-25	2	3.87568637001251e-25
<https://identifiers.org/wikipathways/WP2817_r102410>	WP2817	Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)	38	4	2.48377253515231e-67	4	4.52989135757441e-67	4	3.539388771601e-68	4	4.2302853839373e-66	4	2.38713147824357e-67	4	6.0182929185002e-67	4	5.70604835826508e-69	4	5.70604835826508e-69
<https://identifiers.org/wikipathways/WP2828_r119245>	WP2828	Bladder cancer	40	5	4.47940480328055e-68	5	8.31368296213671e-68	6	1.84048216123253e-66	5	8.28530470677012e-67	5	4.30014446427244e-68	6	3.12951231762009e-65	5	9.21950848150505e-70	6	2.96714514629783e-67
<https://identifiers.org/wikipathways/WP2839_r117746>	WP2839	Hair follicle development: organogenesis - part 2 of 3	32	5	1.14045089960658e-54	5	1.83970369599021e-54	5	2.41978929819586e-55	5	1.08871902497575e-53	5	1.10499863979237e-54	5	2.30639870576527e-54	5	5.66483267083536e-56	5	5.66483267083536e-56
<https://identifiers.org/wikipathways/WP2840_r120866>	WP2840	Hair follicle development: cytodifferentiation - part 3 of 3	88	18	6.19473127087883e-109	18	2.10738539337857e-108	19	1.1467951690258e-108	18	1.99416784801986e-106	18	5.713508960197e-109	19	3.40508041292602e-106	18	2.82485340276879e-112	19	2.92297988939123e-110
<https://identifiers.org/wikipathways/WP2846_r116729>	WP2846	PCSK9-mediated LDL receptor degradation	2	1	0.00117924528301885	1	0.00120048019207684	1	0.0011129660545353	1	0.00128287363694678	1	0.00117785630153122	1	0.00121065375302659	1	0.00105429625724823	1	0.00105429625724823
<https://identifiers.org/wikipathways/WP2848_r120814>	WP2848	Pluripotent stem cell differentiation pathway	50	13	1.0732628323486e-65	13	2.06281520301465e-65	13	1.29014141912735e-66	13	2.34093963327555e-64	13	1.02793611392412e-65	13	2.80939984708283e-65	13	1.77337068924418e-67	13	1.77337068924418e-67
<https://identifiers.org/wikipathways/WP2849_r117150>	WP2849	Hematopoietic stem cell differentiation	94	13	6.9463898865954e-127	13	2.85166565766693e-126	13	7.11383169024477e-129	13	5.42164807674126e-124	13	6.3277259449067e-127	13	5.55937078347154e-126	13	9.70865977706031e-131	13	9.70865977706031e-131
<https://identifiers.org/wikipathways/WP2853_r116557>	WP2853	Endoderm differentiation	145	14	6.08026762041947e-185	14	5.78018093900476e-184	14	4.07075682280794e-188	14	2.47706630222215e-180	14	5.23981129206435e-185	14	1.6756030529579e-183	14	4.28821993785535e-191	14	4.28821993785535e-191
<https://identifiers.org/wikipathways/WP2857_r118395>	WP2857	Mesodermal commitment pathway	153	16	1.6843777857297e-189	16	1.76824182464402e-188	16	8.16897376079041e-193	16	1.09465446143414e-184	16	1.44206686859958e-189	16	5.37184367098027e-188	16	6.35579920283731e-196	16	6.35579920283731e-196
<https://identifiers.org/wikipathways/WP2858_r116763>	WP2858	Ectoderm differentiation	142	23	9.1001576630558e-164	23	7.08714051552418e-163	23	1.16465905230988e-166	23	1.44987818481788e-159	23	7.94628492734681e-164	23	1.86978313171251e-162	23	2.25528687668875e-169	23	2.25528687668875e-169
<https://identifiers.org/wikipathways/WP286_r120663>	WP286	IL-3 signaling pathway	49	6	6.79418642120312e-80	6	1.44987013143215e-79	7	1.52810907068874e-78	6	2.42713355104484e-78	6	6.46243694985939e-80	7	5.02083618033247e-77	6	5.81665555700889e-82	7	1.6112135892915e-79
<https://identifiers.org/wikipathways/WP2864_r108133>	WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	53	6	5.20308715438446e-86	6	1.19030032940868e-85	7	9.35902873546024e-85	6	2.58010649822888e-84	6	4.92634613686733e-86	7	4.26977162095965e-83	6	2.87702376479267e-88	7	7.98579596427489e-86
<https://identifiers.org/wikipathways/WP2865_r120807>	WP2865	IL1 and megakaryocytes in obesity	24	11	1.54557245910712e-26	11	1.9475675899863e-26	11	7.30495696908484e-27	11	4.60129040148512e-26	11	1.52215503113058e-26	11	2.17252852819434e-26	11	3.62123423511789e-27	11	3.62123423511789e-27
<https://identifiers.org/wikipathways/WP2870_r106411>	WP2870	Extracellular vesicle-mediated signaling in recipient cells	30	6	9.76688634438275e-49	6	1.49456782737159e-48	6	2.45900615742177e-49	6	7.26972944644747e-48	6	9.49630176830807e-49	6	1.82755517116811e-48	6	6.75747108419275e-50	6	6.75747108419275e-50
<https://identifiers.org/wikipathways/WP2873_r120645>	WP2873	Aryl hydrocarbon receptor pathway	46	6	3.22108062165516e-75	6	6.52370541949424e-75	6	3.26717112140826e-76	6	8.99328334569573e-74	6	3.07439557255917e-75	6	9.10743819996739e-75	6	3.83000529389744e-77	6	3.83000529389744e-77
<https://identifiers.org/wikipathways/WP2875_r117690>	WP2875	Constitutive androstane receptor pathway	32	1	1.54741003321976e-65	1	2.67770797681344e-65	1	2.61475964948432e-66	1	2.05703913002685e-64	1	1.49237176218465e-65	1	3.47025947733412e-65	1	4.94532152743953e-67	1	4.94532152743953e-67
<https://identifiers.org/wikipathways/WP2876_r116466>	WP2876	Pregnane X receptor pathway	33	2	2.55322655481262e-64	2	4.41821816174222e-64	2	4.31435342164911e-65	2	3.39411456454429e-63	2	2.46241340760472e-64	2	5.72592813760127e-64	2	8.15978052027538e-66	2	8.15978052027538e-66
<https://identifiers.org/wikipathways/WP2877_r119905>	WP2877	Vitamin D receptor pathway	186	33	8.94729290220057e-192	33	1.22177495648799e-190	33	1.84583243220373e-195	33	2.00461875777829e-186	33	7.52819232290328e-192	33	4.20256268255021e-190	33	6.42985586568932e-199	33	6.42985586568932e-199
<https://identifiers.org/wikipathways/WP2878_r116507>	WP2878	PPAR-alpha pathway	26	3	3.06317781901004e-49	3	4.60559215550192e-49	3	8.16528225963824e-50	3	2.09828717100526e-48	3	2.98177984733773e-49	3	5.58502994290572e-49	3	2.36714914826671e-50	3	2.36714914826671e-50
<https://identifiers.org/wikipathways/WP2879_r116462>	WP2879	Farnesoid X receptor pathway	19	1	8.24868527261532e-42	1	1.13553208274302e-41	1	2.92665834116278e-42	1	3.72736179331351e-41	1	8.07639370756939e-42	1	1.32078746745236e-41	1	1.10907889464129e-42	1	1.10907889464129e-42
<https://identifiers.org/wikipathways/WP2880_r117734>	WP2880	Glucocorticoid receptor pathway	71	10	8.16188688328566e-103	10	2.37876382891994e-102	10	2.5414364012076e-104	10	1.26756165174206e-100	10	7.60514729038608e-103	10	3.94426819833474e-102	10	9.84513454055089e-106	10	9.84513454055089e-106
<https://identifiers.org/wikipathways/WP2881_r117716>	WP2881	Estrogen receptor pathway	13	3	5.1329720390952e-24	3	6.13296782087275e-24	3	2.88265004099145e-24	3	1.18893343036624e-23	3	5.0729904041027e-24	3	6.67146470141401e-24	3	1.67946409367207e-24	3	1.67946409367207e-24
<https://identifiers.org/wikipathways/WP2882_r120815>	WP2882	Nuclear receptors meta-pathway	318	38	7.32754310900551e-300	38	7.46198061648858e-298	38	2.18408160979627e-306	38	2.07823917967779e-290	38	5.39849200843816e-300	38	6.62771069814624e-297	38	1.60825663608481e-312	38	1.60825663608481e-312
<https://identifiers.org/wikipathways/WP2884_r106658>	WP2884	NRF2 pathway	143	14	9.70411294619962e-183	14	8.9244554189573e-182	14	7.2357351598096e-186	14	3.38227743953873e-178	14	8.38107816165717e-183	14	2.54690219564212e-181	14	8.43411944215991e-189	14	8.43411944215991e-189
<https://identifiers.org/wikipathways/WP2889_r107138>	WP2889	Oxytocin signaling	5	1	1.4452483793074e-11	1	1.55209487960484e-11	1	1.14693765985773e-11	1	2.02360898898162e-11	1	1.43845720630258e-11	1	1.60533193842994e-11	1	9.23717435952005e-12	1	9.23717435952005e-12
<https://identifiers.org/wikipathways/WP289_r122789>	WP289	Myometrial relaxation and contraction pathways	156	21	8.6160065072857e-183	21	8.7511042558302e-182	21	4.65220856714049e-186	21	4.79305993303254e-178	21	7.39264573749862e-183	21	2.6173881510781e-181	21	4.00390670999743e-189	21	4.00390670999743e-189
<https://identifiers.org/wikipathways/WP2895_r118446>	WP2895	Differentiation of white and brown adipocyte	25	2	3.53443594501154e-50	2	5.31414479480991e-50	2	9.42147953035195e-51	2	2.42110058192915e-49	2	3.44051520846669e-50	2	6.44426531873737e-50	2	2.73132594030779e-51	2	2.73132594030779e-51
<https://identifiers.org/wikipathways/WP2911_r120808>	WP2911	miRNA targets in ECM and membrane receptors	41	14	1.99575241696117e-49	14	3.21942233464983e-49	14	4.23455349290106e-50	14	1.90522329916748e-48	14	1.93371210182321e-49	14	4.03612360084511e-49	14	9.91327509005437e-51	14	9.91327509005437e-51
<https://identifiers.org/wikipathways/WP2916_r104425>	WP2916	Interactome of polycomb repressive complex 2 (PRC2) 	16	2	6.0867708715537e-33	2	7.80695162963131e-33	2	2.71630625132838e-33	2	1.97000236740087e-32	2	5.98754132587876e-33	2	8.78194870679401e-33	2	1.27603590961906e-33	2	1.27603590961906e-33
<https://identifiers.org/wikipathways/WP2942_r119083>	WP2942	DDX1 as a regulatory component of the Drosha microprocessor	7	1	2.09912618635786e-16	1	2.3360096662475e-16	1	1.4842962971621e-16	1	3.47680363919266e-16	1	2.08435665355559e-16	1	2.45714788578309e-16	1	1.07299031584971e-16	1	1.07299031584971e-16
<https://identifiers.org/wikipathways/WP299_r117807>	WP299	Nuclear receptors in lipid metabolism and toxicity	35	3	5.86438834245705e-65	3	1.03274005352058e-64	3	9.3619266443516e-66	3	8.46749755095944e-64	3	5.64926152891772e-65	3	1.3495453522966e-64	3	1.67879301852139e-66	3	1.67879301852139e-66
<https://identifiers.org/wikipathways/WP3_r120028>	WP3	Transcriptional activation by NRF2 in response to phytochemicals	15	2	6.50143213717833e-31	2	8.1924198663443e-31	2	3.07282144681519e-31	2	1.93552732597132e-30	2	6.40292700536153e-31	2	9.13871537300759e-31	2	1.52326786710774e-31	2	1.52326786710774e-31
<https://identifiers.org/wikipathways/WP304_r120696>	WP304	Kit receptor signaling pathway	58	5	6.06934472180194e-96	5	1.54067872899648e-95	5	2.95874341292209e-97	5	4.91486152092234e-94	5	5.70718087918136e-96	5	2.39316789706427e-95	5	1.74508497716444e-98	5	1.74508497716444e-98
<https://identifiers.org/wikipathways/WP306_r116784>	WP306	Focal adhesion	198	42	2.25691219463909e-188	42	3.23679543312716e-187	42	3.96970875433995e-192	42	6.36939108381328e-183	42	1.89280533649172e-188	42	1.13946020334103e-186	42	1.19026161038971e-195	42	1.19026161038971e-195
<https://identifiers.org/wikipathways/WP313_r118735>	WP313	Hepatocyte growth factor receptor signaling	34	2	5.02661857924887e-66	2	8.85205760160482e-66	2	8.02450855230155e-67	2	7.25785504367946e-65	2	4.84222416764384e-66	2	1.15675315911137e-65	2	1.43896544444691e-67	2	1.43896544444691e-67
<https://identifiers.org/wikipathways/WP314_r121827>	WP314	Fas ligand pathway and stress induction of heat shock proteins	43	4	1.84076906408827e-75	4	3.66367514500584e-75	4	1.97579913666185e-76	4	4.73361883610728e-74	4	1.75896742738324e-75	4	5.07268708700412e-75	4	2.44232221639833e-77	4	2.44232221639833e-77
<https://identifiers.org/wikipathways/WP322_r117584>	WP322	Osteoblast signaling	14	4	1.79654021368333e-23	4	2.14653873730548e-23	4	1.00892751434701e-23	4	4.16126700628186e-23	4	1.77554664143593e-23	4	2.33501264549489e-23	4	5.87812432785232e-24	4	5.87812432785232e-24
<https://identifiers.org/wikipathways/WP325_r116669>	WP325	Triacylglyceride synthesis	24	2	2.42886438141197e-48	2	3.58811056545563e-48	2	6.8550685062838e-49	2	1.53110400801198e-47	2	2.36707446342502e-48	2	4.3150800574265e-48	2	2.0965657917802e-49	2	2.0965657917802e-49
<https://identifiers.org/wikipathways/WP3286_r106367>	WP3286	Copper homeostasis	55	7	1.26654936878303e-86	7	2.94820446863798e-86	7	8.1790144994655e-88	7	6.81632832213129e-85	7	1.19780990802259e-86	7	4.39572010219074e-86	7	6.27921853426977e-89	7	6.27921853426977e-89
<https://identifiers.org/wikipathways/WP3287_r121705>	WP3287	Overview of nanoparticle effects	22	4	3.1757438299569e-39	4	4.37179851856077e-39	5	4.08789783776939e-37	4	1.43503429042571e-38	4	3.10941157741423e-39	5	1.69738359804703e-36	4	4.26995374436899e-40	5	1.63453829334445e-37
<https://identifiers.org/wikipathways/WP3298_r120642>	WP3298	Melatonin metabolism and effects	40	5	4.47940480328055e-68	5	8.31368296213671e-68	5	6.03107207394614e-69	5	8.28530470677012e-67	5	4.30014446427244e-68	5	1.11370545111036e-67	5	9.21950848150505e-70	5	9.21950848150505e-70
<https://identifiers.org/wikipathways/WP3300_r102277>	WP3300	Dual hijack model of Vif in HIV infection	9	1	5.21430990371474e-21	1	6.01277451794975e-21	1	3.28564653256124e-21	1	1.02142518135732e-20	1	5.16547846901553e-21	1	6.43180516175554e-21	1	2.13217362294992e-21	1	2.13217362294992e-21
<https://identifiers.org/wikipathways/WP3301_r120029>	WP3301	MFAP5-mediated ovarian cancer cell motility and invasiveness	13	2	9.02632832197287e-27	2	1.09778660278152e-26	2	4.78580527004663e-27	2	2.27329527794692e-26	2	8.91040469104683e-27	2	1.20423550567039e-26	2	2.64205153697754e-27	2	2.64205153697754e-27
<https://identifiers.org/wikipathways/WP3303_r120561>	WP3303	RAC1/PAK1/p38/MMP2 pathway	68	10	1.28651932282357e-98	10	3.56051646864479e-98	10	4.73813637020072e-100	10	1.56566555905224e-96	10	1.20286612326092e-98	10	5.76117196675027e-98	10	2.14843695403712e-101	10	2.14843695403712e-101
<https://identifiers.org/wikipathways/WP334_r117741>	WP334	GPCRs, class B secretin-like	23	1	2.0240536511766e-49	1	2.99009213787971e-49	5	5.18311192219926e-39	1	1.27592000667665e-48	1	1.97256205285423e-49	5	2.33911460485811e-38	1	1.74713815981688e-50	5	1.96417872240973e-39
<https://identifiers.org/wikipathways/WP34_r116553>	WP34	Ovarian infertility	32	2	1.33541485866865e-62	2	2.27069636433784e-62	2	2.3885829398039e-63	2	1.63431758880631e-61	2	1.28940920252758e-62	2	2.91848822043801e-62	2	4.76481729168807e-64	2	4.76481729168807e-64
<https://identifiers.org/wikipathways/WP3408_r118453>	WP3408	Evolocumab mechanism to reduce LDL cholesterol	2	1	0.00117924528301885	1	0.00120048019207684	1	0.0011129660545353	1	0.00128287363694678	1	0.00117785630153122	1	0.00121065375302659	1	0.00105429625724823	1	0.00105429625724823
<https://identifiers.org/wikipathways/WP3413_r116601>	WP3413	NOTCH1 regulation of endothelial cell calcification	17	4	1.47365795109374e-29	4	1.85694850303806e-29	4	6.9650619461145e-30	4	4.3871952722017e-29	4	1.45133012121528e-29	4	2.07144215121504e-29	4	3.45274049877754e-30	4	3.45274049877754e-30
<https://identifiers.org/wikipathways/WP3414_r106735>	WP3414	Initiation of transcription and translation elongation at the HIV-1 LTR	32	2	1.33541485866865e-62	2	2.27069636433784e-62	2	2.3885829398039e-63	2	1.63431758880631e-61	2	1.28940920252758e-62	2	2.91848822043801e-62	2	4.76481729168807e-64	2	4.76481729168807e-64
