pathwayRes	pathway	pathwayTitle	TotalMetabolitesinPW	BiomarkersInPWs	probabilities_metabolomics	TotalGenesinPW	GenesInPWs	probabilities_transcriptome
<https://identifiers.org/wikipathways/WP4571_r120383>	WP4571	Urea cycle and related diseases	14	2	6.31099086420734e-21	9	3	1.03190129449887e-18
<https://identifiers.org/wikipathways/WP5137_r120230>	WP5137	Linoleic acid oxylipin metabolism	14	2	6.31099086420734e-21	3	3	1
<https://identifiers.org/wikipathways/WP690_r117170>	WP690	Polyol pathway	11	2	1.53605009784189e-16	4	3	0.000642054574638953
<https://identifiers.org/wikipathways/WP704_r117787>	WP704	Methylation pathways	5	2	1.21382557035236e-06	9	3	1.03190129449887e-18
<https://identifiers.org/wikipathways/WP1600_r119518>	WP1600	Nicotine metabolism in liver cells	11	1	8.19226718849008e-19	6	3	4.96030068485593e-10
<https://identifiers.org/wikipathways/WP3301_r120029>	WP3301	MFAP5-mediated ovarian cancer cell motility and invasiveness	4	1	4.85530228140943e-07	13	3	1.16980435586016e-29
<https://identifiers.org/wikipathways/WP3585_r106742>	WP3585	Cytosine methylation	9	1	1.04451406653249e-15	9	3	1.03190129449887e-18
<https://identifiers.org/wikipathways/WP3891_r106161>	WP3891	Benzene metabolism	10	1	2.79281835971252e-17	6	3	4.96030068485593e-10
<https://identifiers.org/wikipathways/WP4269_r117715>	WP4269	Ethanol metabolism production of ROS by CYP2E1	17	1	2.48283653918637e-27	10	3	1.65474870830481e-21
<https://identifiers.org/wikipathways/WP4589_r119266>	WP4589	Major receptors targeted by epinephrine and norepinephrine	8	1	4.32893052018464e-14	21	3	4.1567330537225e-50
<https://identifiers.org/wikipathways/WP496_r119106>	WP496	Steroid biosynthesis	12	1	2.61455335802875e-20	11	3	2.91842805697492e-24
<https://identifiers.org/wikipathways/WP5031_r122564>	WP5031	Biotin metabolism, including IMDs	15	1	1.32156277258603e-24	9	3	1.03190129449887e-18
<https://identifiers.org/wikipathways/WP5136_r120082>	WP5136	ALA oxylipin metabolism	13	1	9.01570123458187e-22	3	3	1
<https://identifiers.org/wikipathways/WP5175_r122904>	WP5175	Disorders in ketone body synthesis	13	1	9.01570123458187e-22	5	3	5.15209897800365e-07
<https://identifiers.org/wikipathways/WP5179_r121899>	WP5179	Biosynthesis and turnover of 1-deoxy-sphingoid bases	20	1	3.02281012769517e-31	10	3	1.65474870830481e-21
<https://identifiers.org/wikipathways/WP4661_r117646>	WP4661	Amino acid metabolism pathway excerpt: histidine catabolism extension	16	7	3.19498420351114e-14	6	2	2.38743816052768e-13
<https://identifiers.org/wikipathways/WP4220_r120526>	WP4220	Neurotransmitter disorders	18	5	2.04355894650522e-20	4	2	3.09125938680219e-07
<https://identifiers.org/wikipathways/WP5190_r122630>	WP5190	Creatine pathway	18	4	2.69598805607549e-22	5	2	2.48015034242795e-10
<https://identifiers.org/wikipathways/WP1495_r117738>	WP1495	Glycine metabolism	13	3	2.12998946900742e-17	5	2	2.48015034242795e-10
<https://identifiers.org/wikipathways/WP4523_r121849>	WP4523	Classical pathway of steroidogenesis with glucocorticoid and mineralocorticoid metabolism	30	3	1.05858885833117e-38	25	2	3.9698594004285e-63
<https://identifiers.org/wikipathways/WP5169_r122351>	WP5169	Hemesynthesis defects and porphyrias	18	3	2.83788216428999e-24	9	2	4.96424612491445e-22
<https://identifiers.org/wikipathways/WP4236_r120410>	WP4236	Krebs cycle disorders	21	2	3.17395063407991e-30	11	2	1.40354026465612e-27
<https://identifiers.org/wikipathways/WP561_r117151>	WP561	Heme biosynthesis	18	2	2.23455288526772e-26	9	2	4.96424612491445e-22
<https://identifiers.org/wikipathways/WP2513_r119820>	WP2513	Nanoparticle triggered regulated necrosis	8	1	4.32893052018464e-14	14	2	1.26160601897829e-35
<https://identifiers.org/wikipathways/WP3853_r120593>	WP3853	ERK pathway in Huntington's disease	1	1	1	15	2	3.03173506643298e-38
<https://identifiers.org/wikipathways/WP4153_r120394>	WP4153	Degradation pathway of sphingolipids, including diseases	19	1	5.80379544517469e-30	19	2	1.85479367047176e-48
<https://identifiers.org/wikipathways/WP4966_r112070>	WP4966	Fluoroacetic acid toxicity	8	1	4.32893052018464e-14	6	2	2.38743816052768e-13
<https://identifiers.org/wikipathways/WP5143_r120629>	WP5143	GDNF signaling	8	1	4.32893052018464e-14	135	2	7.14932240745017e-276
<https://identifiers.org/wikipathways/WP733_r120590>	WP733	Serotonin receptor 2 and STAT3 signaling	1	1	1	4	2	3.09125938680219e-07
<https://identifiers.org/wikipathways/WP4156_r121756>	WP4156	Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine	22	6	1.08971695704889e-23	11	1	4.49924752253912e-31
<https://identifiers.org/wikipathways/WP4292_r121757>	WP4292	Methionine metabolism leading to sulfur amino acids and related disorders	23	4	1.33834918403705e-28	16	1	2.48877133487148e-44
<https://identifiers.org/wikipathways/WP4506_r120405>	WP4506	Tyrosine metabolism	18	4	2.69598805607549e-22	4	1	9.92060136971183e-11
<https://identifiers.org/wikipathways/WP3633_r118462>	WP3633	Caffeine and theobromine metabolism	11	3	1.91494245530956e-14	4	1	9.92060136971183e-11
<https://identifiers.org/wikipathways/WP2596_r122782>	WP2596	Gastric acid production	6	2	1.97370011439407e-08	14	1	4.04231342191063e-39
<https://identifiers.org/wikipathways/WP2597_r117821>	WP2597	Secretion of hydrochloric acid in parietal cells	9	2	1.94801873408309e-13	5	1	7.95812720175891e-14
<https://identifiers.org/wikipathways/WP521_r111034>	WP521	Amino acid conjugation of benzoic acid	10	2	5.22257033266244e-15	4	1	9.92060136971183e-11
<https://identifiers.org/wikipathways/WP4518_r122628>	WP4518	Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases	11	1	8.19226718849008e-19	6	1	7.65941020380987e-17
